,赤色美妆培训中心,科教文化服务,科教文化场所,科教文化场所.1,广东省,广州市,花都区,113.233698,23.413721
21,广东优加训犬师培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.315986,23.494866
22,精益干部培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.316475,23.498423
23,花都乐城商业中心游泳培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.295136,23.490272
24,广州职工培训基地工匠营地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.287115,23.557124
25,向尚珠宝设计培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.341037,22.948294
26,广州市白云区北区职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.299398,23.331539
27,知和园教育培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.299976,23.331852
28,南方电力培训,科教文化服务,培训机构,培训机构,广东省,广州市,花都区,113.336274,23.431471
29,沙河丰田维修元丰培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.318881,23.173329
30,广东工贸·蓝焰消防培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.320123,23.173334
31,广州华翎舞蹈瑜伽培训学校(华翎广东总校),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.320046,23.174104
32,华南驾校培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.317614,23.170121
33,广州慕时花艺培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.316919,23.25064
34,广州华连战术射击培训部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.404125,23.262133
35,甲子园天鹿湖培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.415889,23.237264
36,启航汽车音响培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.374512,23.243773
37,良安机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.393341,23.342179
38,骏达叉车培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.381225,23.323555
39,美吉姆培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.399201,23.0956
40,展徒培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.395143,23.091871
41,时代驾驶培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.400346,23.093053
42,瑞盈教育会计培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.399117,23.167864
43,星启点舞蹈艺术培训中心(凌塘分校),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.401108,23.169521
44,瑞仕达游泳培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.39398,22.935126
45,秩序管理部培训办公室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.403466,22.932737
46,艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.397012,23.017752
47,电脑纸样培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.391087,23.009327
48,恒晟服装立裁培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.391051,23.00941
49,吉他演艺培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.39192,22.781684
50,南沙区职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.39513,22.787471
51,智培职业技能培训有限公司南沙大岗招生分教点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.387978,22.782627
52,子沙村农业培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.369558,22.853845
53,广州锦辉机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.380292,22.87374
54,广州市高级职业技术培训学院,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.396968,22.891185
55,本色琴行(钢琴吉他架子鼓培训班),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.40687,22.886634
56,广东省水生动物疫病防控培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.4212,22.89259
57,番安机动车驾驶员培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.410613,22.804873
58,嘉艺职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.383694,23.021796
59,博仕邦培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.38178,23.010385
60,广州基安消防培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.418862,23.65484
61,小凤凰教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.409594,23.665065
62,平安广州应急救援培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.418782,23.654846
63,高登刷新培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.403349,23.619207
64,笔试教学培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.434146,23.61801
65,安培驾校学车培训教练场,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.409518,23.399183
66,广源机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.410116,23.403585
67,万大艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.418076,23.424515
68,金港城会所轮滑培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.36178,23.458258
69,穗百人才招聘培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.404033,23.378106
70,花舞飞扬艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.402474,23.380542
71,广州华亚职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.427057,23.39114
72,鳌头镇社区学校培训学习室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.505413,23.581799
73,同学馆培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.505554,23.580087
74,民凯驾驶员培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.505568,23.579047
75,思云艺术培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.506014,23.579908
76,新余机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.504462,23.573907
77,阳光雅思艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.506395,23.580273
78,希望之星艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.505975,23.581294
79,穗华心素质教育培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.456589,23.329304
80,穗华心培训营地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.455608,23.330073
81,力航艺术文化培训中心(分店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.456131,23.324634
82,中艺教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.517898,23.35232
83,枫之星艺培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.491444,23.372231
84,安格思艺术培训公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.517319,23.353057
85,广州局集团公司党校广沙培训站,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.43994,23.319353
86,宝马广州培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.499612,23.159695
87,广州开发区瀚文职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.482447,23.20997
88,中山大学附属第三医院中-德国际伤口治疗师(广州)培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.471612,23.170958
89,跃浪来斯五星级游泳培训(汇华希尔顿店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.474977,23.181542
90,龙虎豹培训学院,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.481221,23.253707
91,广州市海珠区穗华心素质教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.481117,23.253796
92,卉舞艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.462235,23.26086
93,叉车培训考证,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.467659,23.02238
94,艺童教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.458625,23.001465
95,汇捷智体培训体验,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.479936,23.09691
96,广州市迅安机动车驾驶培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.481796,23.092843
97,快狗打车司机培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.473837,23.095324
98,安顺汽车驾驶员培训有限公司(石化路分部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.47042,23.106805
99,广东火电焊接技术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.498167,23.087853
100,万科城市花园游泳培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.468302,23.105949
101,禹洋舞蹈培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.465107,23.109061
102,科誉教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.459851,23.105499
103,广州市黄埔狮王教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.455035,23.103976
104,中华中医药学会特色疗法(培训中心),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.457131,23.097133
105,少儿编程培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.458076,23.107683
106,钜赢棒球精英培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.456387,23.099996
107,女皇舞团东方舞瑜伽培训机构,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.454105,23.096523
108,广州市黄埔区社会组织培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.459382,23.105689
109,花都区西城机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.097648,23.398779
110,速度培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.081374,23.386498
111,广州市花都区水产技术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.05459,23.403583
112,童心圆艺术培训中心(炭步店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.105744,23.338821
113,中国南方电网花都培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.117088,23.332074
114,广东省输变电工程公司炭步培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.11676,23.331597
115,芙蓉机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.173839,23.480487
116,阳光雅思学前教育培训点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.163654,23.472427
117,芙蓉机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.171372,23.474939
118,铭睿培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.156144,23.467884
119,育美文化艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.166328,23.462834
120,梦想学前教育培训点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.184465,23.474222
121,电商培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.158661,23.462567
122,环岛驾驶员培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.174903,23.466171
123,博晋英语培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.184623,23.331557
124,艺考培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.164948,23.396477
125,东风日产培训中心(广州),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.177149,23.380297
126,广东省公安消防总队培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.158263,23.396776
127,广东省富思源消防职业培训学院,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.174809,23.395149
128,感统触觉美术培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.795642,23.172937
129,艺宇艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.797596,23.17201
130,小蜜蜂培训中心(石滩第五分店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.794998,23.172402
131,石滩壹加壹培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.794734,23.171055
132,三毅堂育才书法培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.794699,23.169416
133,增城粤驾机动车培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.791425,23.173863
134,神笔三毅堂书法国画培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.79468,23.169416
135,网页设计师培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.815161,23.263466
136,广州晋丰(原民丰)驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.781083,23.485883
137,丰和机动驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.77874,23.483892
138,增城和顺机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.779567,23.480292
139,爱塾教育托管培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.805183,23.303047
140,广州增城和顺机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.79368,23.415398
141,增城区民丰机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.833287,23.379096
142,增城区民丰机动车驾驶员培训中心小楼招生点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.833113,23.378993
143,天空树教育培训城,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.827383,23.303203
144,小马俱乐部(广州)青少年马术培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.887152,23.420155
145,书画培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.893841,23.415382
146,广州粤菜师傅培训班,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.891833,23.415982
147,广州市瑞昌机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.89256,23.412103
148,广州市瑞昌机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.824414,23.306686
149,广州市东和汽车机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.819408,23.303177
150,增城区高力职业技能培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.815981,23.294804
151,企业干部培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.830885,23.29851
152,广职培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.815943,23.295034
153,广州市辉粤汽车机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.824019,23.304547
154,心蓝培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.804161,23.295816
155,广州华粤汽车驾驶员培训服务有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.8662,23.237348
156,广州市瑞昌机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.844878,23.334546
157,广东省建协职业技能挖掘机培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.887589,23.369511
158,嫣语艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.844604,23.254715
159,民丰驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.846397,23.283181
160,时代画廊书画培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.844879,23.28421
161,广东考啦机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.859117,23.184904
162,城伟培交通培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.856512,23.186948
163,创佳电脑培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.855791,23.186337
164,广州市增城伟培交通驾驶培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.856455,23.186882
165,增城区粤驾机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.848723,23.191944
166,广州市增城伟培交通驾驶培训中心(三江招生点),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.856393,23.186755
167,广州健翔咨询有限公司广蓄培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.941905,23.76947
168,农机培训室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.943131,23.843674
169,广州市从化区职业技能培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.564797,23.559106
170,从化旅游教育培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.564948,23.559041
171,德高应用技术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.545488,23.581271
172,叉车培训机构中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.543941,23.563952
173,广州粤菜师傅培训室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.58612,23.62363
174,广东省研学旅行导师培训学院,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.58477,23.620061
175,从化区乒乓球协会培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.567037,23.55677
176,全球通机动车驾驶员培训中心有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.565296,23.557064
177,新学士驾驶员培训企业有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.573461,23.576413
178,新学士驾驶员培训企业有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.573461,23.576413
179,广州诚敬明文化艺术培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.576849,23.557205
180,从化区启能围棋培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.574337,23.556959
181,涂星艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.577624,23.555819
182,心仪艺术舞蹈培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.544529,23.331049
183,美嘉艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.549118,23.322521
184,广州市博育大才教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.486419,22.863009
185,广州宇航教育培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.484856,22.863981
186,金榜国际文化艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.485218,22.938068
187,飞扬学堂文化培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.442039,22.785759
188,唐音艺术培训中心(亚运城分校),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.483575,22.944962
189,智学教育培训中心(国际区店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.485593,22.944807
190,中国康复医学会康复治疗师培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.653326,23.653149
191,从化泉瑜伽培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.651417,23.635124
192,广州供电局培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.463303,22.955082
193,广州音乐成艺术培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.473778,22.96057
194,广州市番禺区武术协会培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.488568,22.962657
195,乐韵艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.671491,23.510604
196,从化区食品安全管理培训教学基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.622238,23.5272
197,广州市永晖汽车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.622219,23.527714
198,广州市长足机动车驾驶员培训有限公司训练场,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.623272,23.528999
199,缤纷机动车驾驶员培训学校有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.624865,23.525976
200,广州市机动车驾驶员理论培训从化教学点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.622382,23.527654
201,广州众力机动车驾驶员培训学校有限责任公司训练场,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.649256,23.574952
202,舞元素艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.552459,23.101014
203,高山驾驶培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.56653,23.102874
204,和声培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.567934,23.186042
205,广州增城和机动车驾驶培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.565993,23.186701
206,广州市广数职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.54308,23.153119
207,创星培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.568981,23.188162
208,艺术培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.571542,23.186781
209,萌艺培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.571375,23.186888
210,通意培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.566398,23.191256
211,国际灵子舞蹈培训机构(永和分校),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.569895,23.18702
212,广州市恒力职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.56228,23.195546
213,广州市增城和顺机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.565992,23.186699
214,广州市南沙保安服务有限公司培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.559148,22.770214
215,英红教育培训机构,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.558826,22.766002
216,广州市汽车驾驶学员理论培训南沙区教学点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.554209,22.772132
217,中船黄船技校南沙培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.547747,22.776981
218,英雄艺术培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.556826,22.759513
219,灵尚舞蹈培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.543216,22.820231
220,广东电网南沙供电局技术技能培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.519863,22.829198
221,广州供电局培训与评价中心南沙培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.550441,22.763654
222,南沙区陈华永春拳培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.549472,22.787282
223,新梦想舞蹈培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.547589,22.789679
224,大拇指琴行艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.544802,22.788726
225,广州市特众职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.545916,22.701083
226,广州市中天职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.544339,22.698992
227,未来星艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.546056,22.70412
228,广船国际有限公司培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.656833,22.692865
229,工人新村培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.655934,22.690684
230,国际灵子舞蹈培训机构(南沙店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.568887,22.720733
231,美心协培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.540408,22.791466
