,马鞍山公园(地铁站),交通设施服务,地铁站,地铁站.1,广东省,广州市,花都区,113.237846,23.399699
53,番福(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.33526,22.972085
54,人和(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.295995,23.335224
55,高增(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.295504,23.355162
56,太和(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.347197,23.299284
57,机场北(2号航站楼)(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.305659,23.396197
58,机场南(1号航站楼)(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.303097,23.38669
59,梅花园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.320507,23.175211
60,燕塘(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.327132,23.15998
61,天平架(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.321353,23.159525
62,京溪南方医院(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.326126,23.185225
63,天河客运站(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.3436,23.171
64,沙河(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.313064,23.151916
65,田心村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,越秀区,113.303315,23.154894
66,广州东站(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.324851,23.150968
67,同和(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.326264,23.19706
68,沙河顶(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.306967,23.147276
69,白云东平(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.317841,23.25117
70,夏良(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.323505,23.277704
71,嘉禾望岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.289243,23.23746
72,永泰(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.306295,23.220226
73,白云大道北(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.298178,23.222382
74,竹料(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.368332,23.348496
75,万胜围(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.384796,23.097712
76,东圃(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.401562,23.109392
77,三溪(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.415784,23.104098
78,车陂南(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.389561,23.11593
79,仑头(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.370824,23.080808
80,深井(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.406301,23.065623
81,琶洲(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,海珠区,113.3667,23.098516
82,珠村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.419516,23.117298
83,车陂(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.395548,23.124465
84,鱼珠(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.432261,23.100431
85,长洲(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.428964,23.076126
86,天河智慧城(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.403184,23.163275
87,柯木塱(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.395991,23.193462
88,高塘石(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.410408,23.191057
89,龙洞(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.37752,23.19096
90,大观南路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.406947,23.144575
91,神舟路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.431334,23.165215
92,植物园(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,天河区,113.365686,23.190164
93,黄陂(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.433738,23.188379
94,番禺客运站(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.410076,22.936702
95,番禺广场(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.385642,22.935482
96,板桥(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.388139,23.016845
97,新造(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.415714,23.028182
98,大学城南(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.400557,23.043313
99,员岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.365641,23.015962
100,钟落潭(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.400686,23.375649
101,神岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,从化区,113.517396,23.475101
102,太平地铁站B口,交通设施服务,地铁站,出入口,广东省,广州市,从化区,113.492521,23.453032
103,钟落潭地铁站B2口,交通设施服务,地铁站,出入口,广东省,广州市,白云区,113.400472,23.37588
104,钟落潭地铁站A口,交通设施服务,地铁站,出入口,广东省,广州市,白云区,113.40153,23.375672
105,钟落潭地铁站B1口,交通设施服务,地铁站,出入口,广东省,广州市,白云区,113.400943,23.376271
106,枫下(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.508322,23.363059
107,新和(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.46706,23.413259
108,红卫(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.487415,23.399261
109,马沥(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,白云区,113.450388,23.393877
110,新南(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.495228,23.377232
111,太平(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,从化区,113.491955,23.45209
112,萝岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.481288,23.175137
113,苏元(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.468482,23.17097
114,水西(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.479492,23.186954
115,科丰路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.466329,23.162859
116,暹岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.460177,23.172296
117,香雪(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.501224,23.172382
118,水西北(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.474845,23.195235
119,金峰(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.451071,23.181316
120,科学城(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.44925,23.165651
121,加庄(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.460374,23.148535
122,官桥(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.443122,22.982352
123,双岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.474331,23.094468
124,文冲(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.469004,23.103796
125,南海神庙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.497434,23.083718
126,裕丰围(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.455011,23.094934
127,大沙东(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.458515,23.106216
128,庙头路(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.503766,23.083552
129,大沙地(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.446074,23.103227
130,飞鹅岭(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.155127,23.378345
131,花都汽车城(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,花都区,113.180367,23.379671
132,钟岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.792047,23.279317
133,增城广场(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.814472,23.278024
134,赤草(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,从化区,113.560204,23.501199
135,从化客运站(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,从化区,113.594721,23.531769
136,镇龙西(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.573793,23.278088
137,金坑(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.526727,23.249328
138,镇龙北(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.576945,23.289584
139,镇龙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.593,23.284514
140,旺村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.551749,23.323256
141,何棠下(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.543688,23.33119
142,汤村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.564686,23.307382
143,知识城(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.525198,23.349377
144,庆盛(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.490456,22.866999
145,东涌(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.478955,22.885577
146,黄阁汽车城(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.509719,22.835812
147,海傍(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.475352,22.939553
148,低涌(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.484818,22.919463
149,金光大道(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.457479,22.94227
150,石碁(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.465225,22.957185
151,广州新城西(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,番禺区,113.439675,22.938156
152,横沥(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.511056,22.753346
153,东风(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,从化区,113.600801,23.566233
154,南岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.541486,23.09528
155,沙村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.570399,23.11059
156,保盈大道(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.52623,23.075142
157,广州开发区(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.525479,23.061579
158,黄埔客运港(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,黄埔区,113.52553,23.050493
159,大涌(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.555975,22.759076
160,广隆(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.540728,22.772143
161,飞沙角(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.540758,22.781854
162,金洲(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.538886,22.792178
163,塘坑(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.573064,22.753098
164,蕉门(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.527502,22.800704
165,南横(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.594381,22.747885
166,黄阁(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.518768,22.824736
167,万顷沙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.565607,22.708243
168,南沙客运港(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,南沙区,113.610968,22.766988
169,塘坑地铁站D口,交通设施服务,地铁站,出入口,广东省,广州市,南沙区,113.572389,22.753455
170,官湖(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.636569,23.137226
171,新沙(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.649417,23.136863
172,坑贝(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.642606,23.278769
173,凤岗(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.670634,23.275961
174,中新(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.613131,23.285303
175,朱村(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.701415,23.272316
176,山田(地铁站),交通设施服务,地铁站,地铁站,广东省,广州市,增城区,113.744543,23.276428
