,子曰·禮茶居(花都三东店),餐饮服务,茶艺馆,茶艺馆.1,广东省,广州市,花都区,113.235858,23.408879
91,Luckin coffee瑞幸咖啡(小马驹创意园店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,天河区,113.376786,23.21396
92,圣玛莉(彭城一街),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.360964,23.291539
93,柠起柠檬茶室,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.361722,23.291968
94,益禾堂(良田南国商学院校外店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.38359,23.340954
95,麦语家园·蛋糕烘焙(黄埔村直营店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.397958,23.092967
96,平安堂凉茶店(黄埔村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.398225,23.093815
97,强力凉茶(盘石大街),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.397889,23.092853
98,尚一面包蛋糕房,餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.398299,23.093771
99,利口福(黄埔古村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.398039,23.093432
100,金早绿点(黄埔古村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.397967,23.093934
101,港缘港式奶茶休闲小吃,餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.396905,23.091371
102,应许之地,餐饮服务,甜品店,甜品店,广东省,广州市,海珠区,113.400489,23.094818
103,香麦佳,餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.39996,23.169994
104,咪咕咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,天河区,113.40007,23.174419
105,mona茉那水果茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.400819,23.17141
106,皇茶创客休闲吧(凌塘店),餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.400167,23.168439
107,彩蝶轩(番禺清河店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.397257,22.935634
108,茶理斯(石岗店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398016,22.937265
109,皇冠·玛莉奥(东怡店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.392763,22.932769
110,海记饼店,餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.393867,22.93823
111,冰心糖水炖品店·快餐,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398416,22.938307
112,皇冠·玛莉奥(石岗店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.398156,22.936995
113,诗意烧仙草,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398419,22.93697
114,Caidie Bakery采蝶轩(石岗店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.39617,22.938969
115,南筑咖啡NAM ZUK,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,番禺区,113.398433,23.00891
116,胜神堂凉茶(北大街),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.395578,23.010047
117,锦康本草凉茶行(南村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.395342,23.009361
118,超润甜品(南村南山大道店),餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.394501,23.008379
119,圣歌绿岛时尚饮品,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.394888,23.008709
120,书亦烧仙草(华南理工店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.400102,23.008221
121,啊一柠檬茶(南村南光广场店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.391298,23.007996
122,太子面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.38979,22.78266
123,吉豆小吃店,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,南沙区,113.388483,22.783173
124,自由饮吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.391034,22.780917
125,逗号咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.401283,22.796815
126,珍之堡咖啡(大岗店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.400467,22.79496
127,壹茶惊人(潭州店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.385488,22.787426
128,沃茶(大岗店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.387251,22.785847
129,遇茶(潭洲店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.389443,22.783916
130,爽洋洋魅力茶吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.407833,22.887235
131,茶悦,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.383968,22.864959
132,大口九,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,南沙区,113.404556,22.885995
133,堡滋味汉堡·炸鸡(南沙太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.402635,22.889717
134,彩贤轩面包店(大简店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.4097,22.868762
135,8090鲜萃茶(太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.405295,22.886682
136,谷美陶九简餐·饮品(太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.404795,22.886163
137,芝味面包(高平店),餐饮服务,甜品店,甜品店,广东省,广州市,从化区,113.413689,23.707281
138,三笑皇茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.415188,23.670272
139,美点面包,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.41362,23.668842
140,韬韬面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.414675,23.669222
141,首茶官奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.414262,23.66874
142,小焙熊烘焙屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.411659,23.666217
143,龙新茶艺,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,从化区,113.414836,23.668516
144,皇冠新玛莉(北兴店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.419456,23.425063
145,丽莎烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.420037,23.423976
146,预幸茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.403636,23.383296
147,DKJ咖啡茶饮,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.405986,23.430903
148,广州富力空港假日酒店-咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.359245,23.455967
149,米多多烘培,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.496927,23.479309
150,椰子有约(钟落潭店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.407973,23.382667
151,龙廷轩茗茶,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,白云区,113.406733,23.38382
152,HonG Cha鸿味(钟落潭店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.406341,23.381866
153,熙茶(棋杆店),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.506354,23.579826
154,纳盛茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.48616,23.310712
155,小村面包工作室,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.451804,23.328019
156,DKJ咖啡茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.451404,23.328015
157,益禾堂(仲恺北门店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.448114,23.369191
158,化州超润糖水(东门美食城店),餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.448167,23.369809
159,私房蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.478052,23.412434
160,DAKOUJIU,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478273,23.411288
161,大口九,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.47823,23.410998
162,一加一美食,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478552,23.40992
163,立茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478401,23.409249
164,TT鲜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.47875,23.40946
165,茶大大BBT,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478222,23.409422
166,星巴克咖啡(广州雪松控股大厦店),餐饮服务,咖啡厅,星巴克咖啡,广东省,广州市,黄埔区,113.478701,23.174139
167,糖本屋,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.483615,23.177015
168,一些柠檬一些茶(罗兰店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.492477,23.171196
169,益禾堂(广州白云东华职院校内店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.470665,23.254877
170,四季原著(东华店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.47245,23.254404
171,自由闲(东华学院店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.467454,23.254377
172,蜜雪冰城(天河学院店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.456852,23.261814
173,锡兰红茶之旅,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.455948,23.261862
174,社烩饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.45634,23.261845
175,星食茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.456076,23.261877
176,KISS TEA鲜意(广州理工店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.456927,23.261757
177,蜜雪冰城(广东理工店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.456614,23.261757
178,LOO咔,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.469811,23.016899
179,清心堂快餐,餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.461378,22.998317
180,一夫茶,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,番禺区,113.460105,22.998761
181,化州超润甜品(潭山店),餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.460547,22.99796
182,提香坊蛋糕店(文船店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.47889,23.094558
183,黄振龙凉茶(双岗店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.479118,23.09392
184,赛麦园面包店(黄岗店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.479868,23.094747
185,赛麦园面包店(文船店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.475029,23.096445
186,黑龍茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.478943,23.093864
187,街友特饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.480673,23.095428
188,伴山茶园,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,黄埔区,113.479118,23.093925
189,爽爽甜品,餐饮服务,甜品店,甜品店,广东省,广州市,黄埔区,113.480339,23.095461
190,黛言咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,黄埔区,113.469112,23.095471
191,三山SANSHAN(黄埔万科中心店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.469191,23.096115
192,茶香满屋,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,黄埔区,113.47563,23.094953
193,长丰山庄,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,花都区,113.036971,23.452892
194,澳美西饼(文冲店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.471014,23.106937
195,1点点(文冲石化店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.468948,23.102961
196,益禾堂(文冲店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.468675,23.102558
197,西柠御茶,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.093024,23.407461
198,Hello week休闲吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.091633,23.40717
199,孖啡TeaCakeCoffee,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.092863,23.407268
200,Make It Simple,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.092598,23.407139
201,蜜雪冰城(培正店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.092582,23.40753
202,kiss tea鲜意,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.093179,23.407529
203,孖啡糕点店,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.09276,23.407297
204,大叔的店(培正店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.093224,23.40757
205,初见烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.094014,23.412091
206,益合堂奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.092972,23.407447
207,徐其修凉茶(培正店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.092653,23.407632
208,爱心蛋糕房,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.092669,23.407599
209,ULIKE音乐吧,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.091806,23.407411
210,华润蛋糕(第三分店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.065554,23.256357
211,爱憩甜品,餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.107728,23.331937
212,聚福茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,花都区,113.106426,23.334938
213,茗颜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.106059,23.336352
214,蜜语甜品,餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.105849,23.33201
215,米可YOYO,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.107328,23.331771
216,煎饼与茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.106738,23.334963
217,溏心牛奶甜品,餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.156668,23.466968
218,七西烧仙草(狮岭城市广场店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.158202,23.469081
219,赵氏凉茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.147621,23.35286
220,熊茶奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.183532,23.334408
221,超润甜品,餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.14989,23.355299
222,皇轩蛋糕(秀全街店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.148902,23.355704
223,神山美之心饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.184841,23.332898
224,益禾烤奶(马溪店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.148332,23.356052
225,烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.161732,23.408537
226,名流烘培坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.163166,23.407265
227,壹品茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.164259,23.407918
228,港初烧仙草(大布店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.163701,23.40679
229,六月私房烘焙工作室,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.162206,23.399114
230,达妃雅烘焙公馆,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.173806,23.428645
231,初茶(石滩店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.796702,23.170672
232,好又多阿彩甜品店,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.795359,23.170525
233,猪头鱼烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.796038,23.170358
234,啊一柠檬茶(石滩店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.795665,23.169118
235,乐焙蒂斯,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.794005,23.174045
236,MOMOCHA(么么茶),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.795434,23.168275
237,最后防线,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.792978,23.16911
238,茶理坞,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.796855,23.170903
239,琉璃净奶茶(石滩店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.79307,23.1726
240,红茶馆·茶铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.795388,23.168305
241,元洲茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.799268,23.170355
242,黄振龙凉茶(立新),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.790871,23.174057
243,味造,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.789738,23.258741
244,阿道奶茶(总店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.789531,23.258512
245,小眷村,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.788281,23.258442
246,淘淘茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.8163,23.274863
247,麦甜艾斯,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.778931,23.25507
248,甘茗城饮品店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.775685,23.257533
249,一糖烘焙(东汇城店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.821941,23.28451
250,半粒糖,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.821787,23.28385
251,喵趣Meow Cafe(增城万达广场店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.815303,23.275056
