,名称,大类,中类,小类,省,市,区,经度,纬度
67,广州农商银行(江高支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230633,23.273146
68,交通银行ATM(广州富力城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.263117,23.246817
69,广州农商银行(南岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.206392,23.246706
70,交通银行(广州富力城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.263263,23.24689
71,广州农商银行(双岗分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230419,23.325227
72,广州农商银行(东镜支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.230798,23.340609
73,广州白云民泰村镇银行(水沥分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.23666,23.311689
74,中国工商银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.249999,23.349854
75,广发银行(花都支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.262231,23.368432
76,中国银行(镜湖大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.250746,23.362069
77,花都稠州村镇银行(东镜服务站),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.231084,23.341364
78,广州农商银行(水沥分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.235339,23.310009
79,中国农业银行(广州花都镜湖大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.250919,23.361342
80,中国农业银行(蚌湖支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.26121,23.29681
81,广州农商银行(大岭支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.201191,23.35194
82,广州农商银行(西湖支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.259366,23.295418
83,广州农商银行(狮城分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.251243,23.35946
84,中国建设银行(空港经济区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.261439,23.369132
85,广州农商银行(雅瑶支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.218308,23.359533
86,广州农商银行(横沥分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.265279,23.337692
87,广州农商业银行(塘贝分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.234834,23.299644
88,中国银行广州空港经济区支行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.261641,23.369626
89,中国银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.250772,23.362223
90,中国农业银行(广州花都雅源中路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.219591,23.358296
91,广州农商银行ATM(塘贝分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.234834,23.299644
92,中国邮政储蓄银行银行卡助农取款服务点,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.219048,23.358985
93,广州农商银行(中市分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.237599,23.093616
94,中国建设银行(广州芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.232829,23.091747
95,中国工商银行(芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.233415,23.088808
96,中国农业银行(花地湾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.231627,23.090684
97,中国建设银行(广州鹤洞支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.242472,23.092456
98,中国工商银行(广州冲口支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.242908,23.091689
99,中国邮政储蓄银行(芳村大道东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.24122,23.09401
100,中国民生银行(广州芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.233306,23.092593
101,中国银行(广州茶窖支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.23088,23.0908
102,中国邮政储蓄银行区域信贷中心,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.234395,23.094188
103,中国邮政储蓄银行(花地大道北支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.234322,23.094007
104,广州农商银行(花地支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.233479,23.093712
105,中国建设银行广州荔湾支行芳村支行-母婴室,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.232779,23.091627
106,广发银行(沙面支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.243227,23.108044
107,广州银行(芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.225397,23.077945
108,中国建设银行(芳村大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.232802,23.101018
109,台湾银行广州支行(日),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.246734,23.10731
110,交通银行(广州芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.230898,23.082756
111,广州农商银行(芳村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.233727,23.074799
112,中国工商银行(茶滘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.229509,23.091842
113,中国工商银行ATM(明心路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.239906,23.098527
114,广发银行(江南西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.270125,23.094658
115,广州农商银行(茶滘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.229581,23.090194
116,中国工商银行(恒荔湾畔支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.232867,23.100918
117,中国建设银行(广州海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.262171,23.102091
118,中国银行(白天鹅宾馆支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.242916,23.105973
119,平安银行(广州黄沙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.239,23.111345
120,中国银行(汾水支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.225707,23.083856
121,中国农业银行(革新路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.253413,23.092455
122,中国工商银行(工业大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.254567,23.096917
123,中国工商银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.232864,23.100788
124,广州银行(花地大道北支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.233227,23.092132
125,广州银行(海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.266563,23.092538
126,中国工商银行(沙面支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.243231,23.107813
127,交通银行(南方茶市支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.223003,23.102162
128,广州农商银行(江南西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.268782,23.095585
129,广州银行(越秀支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,越秀区,113.262724,23.121673
130,广州农商银行(葵蓬支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,荔湾区,113.221076,23.095772
131,中国工商银行(广州上步支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.236265,23.172572
132,中国银行(广州横滘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.236005,23.173703
133,广州农商银行(横滘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.238475,23.173449
134,中国农业银行(同德支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.235975,23.170095
135,中国工商银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.236275,23.172596
136,广州白云民泰村镇银行(西槎路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.235966,23.173242
137,中国工商银行(江南市场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.22628,23.176662
138,上海浦东发展银行(白云支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.252312,23.17231
139,广州农商银行(同德分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.238164,23.169327
140,中国农业银行(广州槎头支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.229789,23.182319
141,广发银行(白云机场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.259389,23.175463
142,招商银行(广州机场路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.259338,23.174355
143,兴业银行(白云支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.256356,23.172182
144,中国农业银行(广州江南果菜批发市场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.22611,23.173785
145,广州银行(机场路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.262563,23.162395
146,中国邮政储蓄银行(增槎路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.225259,23.17551
147,中国工商银行(同德支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.234707,23.15898
148,交通银行(广州金迪支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.256409,23.170284
149,广州银行(站西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,越秀区,113.249006,23.149904
150,中国建设银行(广州同德围支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.236367,23.158566
151,广州农商银行(西城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.223021,23.153226
152,广州农商银行(沙涌北分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.251502,23.16859
153,交通银行(兰天支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.260391,23.172215
154,浦发银行(江南市场小微支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.230467,23.171665
155,中国民生银行(白云支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.259816,23.178833
156,中国银行(远景路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.25676,23.172115
157,中国民生银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.240049,23.183891
158,中国农业银行(广州机场路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.260118,23.174584
159,中国银行(时代花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.255654,23.176215
160,中国农业银行(白云支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.257838,23.16784
161,中国工商银行(广州乐嘉路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.258396,23.168333
162,广州农商银行(萧岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.266143,23.19025
163,广州农商银行(三元里支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.261585,23.157472
164,广州农商银行(棠溪支行),金融保险服务,银行,农村商业银行,广东省,广州市,白云区,113.250274,23.179808
165,中国农业银行(新市支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.260649,23.18873
166,中国邮政储蓄银行(机场路营业所)(暂停营业),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.255851,23.167813
167,交通银行(广州大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.313883,23.014504
168,中国建设银行(大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.314554,23.01794
169,广发银行(华南支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.311036,23.026737
170,中国工商银行(广州南大路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.313076,23.013318
171,九江银行(广州番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.313882,23.014428
172,中国银行(大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.316077,23.026837
173,中国农业银行(番禺大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.311307,23.024873
174,中国工商银行(广州大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.310665,23.024776
175,中国银行(广州番禺洛溪支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.303859,23.040965
176,广州农商银行(万盛名家支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.312614,23.012744
177,中国邮政储蓄银行(大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.312151,23.021327
178,广州农商银行(大石支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.307644,23.024336
179,中国邮政储蓄银行(大石朝阳营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.318974,23.027085
180,广州农商银行(会江支行)(装修中),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.296086,23.009212
181,中国工商银行(广州朝阳支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.324427,23.026876
182,广发银行(广州汉溪支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.33325,22.995171
183,中国邮政储蓄银行(大石城西营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.305914,23.023281
184,中国农业银行(朝阳东路分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.324739,23.026466
185,广州农商银行ATM(主人花园南),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.316122,23.007706
186,中国银行(广州番禺星河湾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.330612,23.026618
187,平安银行(广州星河湾社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.330335,23.027422
188,中国建设银行(番禺新城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.329634,23.025853
189,广发银行(万博支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.351047,23.011801
190,中国工商银行(保利大都汇支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334461,22.994764
191,中国工商银行(广州华南支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.340616,23.010049
192,广州市农村商业银行ATM(河村分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334288,23.01252
193,中国建设银行(沙溪支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334021,23.035131
194,中国银行(海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.315504,23.086268
195,中国农业银行(广州海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316442,23.087374
196,浙商银行(广州分行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316595,23.085049
197,中国工商银行(广州大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.315977,23.093307
198,中国建设银行(广州赤岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.324578,23.09595
199,平安银行(广州新港中路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.32302,23.096813
200,交通银行(广州新港支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.322095,23.096502
201,广州银行(赤岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.324089,23.096044
202,中国农业银行(新港中路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.325339,23.095955
203,招商银行(广州赤岗北路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.32761,23.097144
204,中国工商银行(鹭江支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.311891,23.095334
205,广州农商银行(广州大道南支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.31641,23.088165
206,广州银行(敦和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316331,23.08892
207,中国工商银行(丽影华庭支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.32259,23.095899
208,中国工商银行(广州穗和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316551,23.08646
209,中国建设银行(广州大道南路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316512,23.086877
210,中国建设银行(广州鹭江支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.311618,23.095884
211,中国银行(广州珠影支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.32471,23.09597
212,中国邮政储蓄银行(敦和路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.319616,23.086903
213,交通银行(聚德支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.327832,23.086067
214,中国光大银行(广州大道南支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316785,23.085708
215,招商银行(合生广场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.314207,23.085755
216,中国邮政储蓄银行(明月支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,越秀区,113.312007,23.115799
217,广发银行(广州海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.310121,23.10257
218,中国工商银行(广州大塘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.327585,23.092359
219,广州农商银行(敦和分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.313842,23.090868
220,广发银行(广州分行营业部),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.328576,23.114226
221,中国邮政储蓄银行(海珠支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.316436,23.087946
222,农商银行嘉塘休闲中心,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.321202,23.085929
223,中国工商银行(广州愉景支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.312061,23.096953
224,中国建设银行(广州泓景花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.327584,23.099049
225,交通银行(广州大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.315427,23.084146
226,广州农商银行(滨江东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.31191,23.103367
