,新斯浦物流中心,生活服务,物流速递,物流速递.1,广东省,广州市,花都区,113.238132,23.41208
18,广州联承物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.228517,23.480404
19,广州市焯记运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.23045,23.4801
20,广州世佳物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.226552,23.477507
21,广州汇洋国际货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.261475,23.495986
22,中通快递(芙蓉分部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.226156,23.46839
23,旗岭邮政支局,生活服务,邮局,邮局,广东省,广州市,花都区,113.220156,23.469964
24,鑫盛海食材配送,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.226247,23.472478
25,进发物流园,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240121,23.251235
26,好酷国际物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240846,23.253161
27,大朗货场,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.24004,23.251186
28,中国移动通信,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,白云区,113.240713,23.256923
29,德邦(龙塘路),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.2396,23.256234
30,诚航国际货运,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238132,23.250161
31,广州申扬物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237944,23.250091
32,飞呗国际物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238958,23.255999
33,TCD CARGO,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240954,23.250873
34,中通快运白云大唐,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240896,23.2506
35,韵达(唐阁下村西街),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238343,23.256266
36,盛世鸿途物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237733,23.256199
37,中通云仓,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241671,23.251434
38,加运美快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241815,23.254237
39,汇通快递(唐阁站点),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240182,23.256875
40,广东思明药业有限公司配送中心,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241765,23.25275
41,龙兴物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.239799,23.256324
42,远成物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241323,23.249088
43,中通快递-广州均禾网点,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241705,23.25537
44,广州市泰询仓储有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234374,23.254139
45,广州泰程达货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240959,23.250914
46,广州市长程物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.235138,23.249152
47,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.242357,23.256268
48,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237696,23.256158
49,广州恒路物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234137,23.2498
50,老挝专线,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234318,23.250641
51,安发货运市场,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.208086,23.228513
52,快宝驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241137,23.256873
53,宇鑫物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.241931,23.256294
54,广州市飞弓长达物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234904,23.256238
55,零距国财物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.233192,23.254501
56,伟光,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237196,23.249855
57,圆通速递(龙塘路),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.239231,23.256218
58,鑫兴鹏物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.23457,23.256234
59,广州泰廊曼国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.23593,23.255583
60,均禾中通平沙七分部,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237351,23.257945
61,天联国际速递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.233516,23.250752
62,东通国际物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.233149,23.251262
63,ANANTA物流公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.233711,23.256527
64,龙邦物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.23286,23.252503
65,嘉翘,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240393,23.253471
66,大顺发中越国际物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.233087,23.251145
67,自由自在配送基地,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.236476,23.256264
68,代办营业执照,生活服务,邮局,邮局,广东省,广州市,白云区,113.230384,23.254694
69,中国邮政(广州邮件处理中心),生活服务,邮局,邮局,广东省,广州市,白云区,113.226414,23.331594
70,广州邮件处理中心,生活服务,邮局,邮政速递,广东省,广州市,花都区,113.227658,23.332314
71,联昊通快递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.233018,23.336935
72,中国邮政(广州邮区中心局),生活服务,邮局,邮局,广东省,广州市,白云区,113.228223,23.330741
73,中通快递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.231198,23.337408
74,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.235535,23.342715
75,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.230144,23.324626
76,中国邮政,生活服务,邮局,邮局,广东省,广州市,花都区,113.23578,23.342909
77,中国联通(东田专营店),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.228789,23.340483
78,中国电信(连盛通讯),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.228194,23.340641
79,力天专线,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.230693,23.324779
80,菜鸟中通快递东镜村公共服务站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.231265,23.339434
81,神山货运站(中运货运公司物流中心),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234614,23.323252
82,圣沅顺昌物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.241375,23.343789
83,广州中运货运站场管理有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.234178,23.323152
84,壹米滴答·物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.234696,23.343974
85,中国移动沟通100(东镜服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.229619,23.340406
86,商桥物流(东镜营业部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.229342,23.342819
87,顺丰速运(镜湖营业部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.228901,23.342178
88,鑫稀莱物流仓储分公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.25014,23.327911
89,东镜营业厅,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,花都区,113.229574,23.340412
90,菜鸟驿站(东镜村欢乐购生活超市),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.235008,23.342911
91,广州力天国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.230613,23.32466
92,百世汇通,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.238732,23.09282
93,中国联通(芳村营业厅)自营,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,荔湾区,113.23326,23.090183
94,顺丰快递花地湾分部,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.23886,23.092722
95,华大物流,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.224554,23.105414
96,中国联通花地大道营业厅,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,荔湾区,113.236751,23.091158
97,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.237868,23.094948
98,钱大妈鱼部配送中心,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.238628,23.091525
99,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.24101,23.093913
100,菜鸟驿站(广州荔湾芳村招村北店),生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.237437,23.091232
101,菜鸟驿站(宜客士多店),生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.23985,23.09537
102,中国移动(花苑特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,荔湾区,113.234832,23.09108
103,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,荔湾区,113.237298,23.089692
104,中国移动(花蕾路店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,荔湾区,113.23574,23.093075
105,中国联通(工业大道营业厅)(自营),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,海珠区,113.258205,23.091179
106,中国邮政(雅怡投递站),生活服务,邮局,邮政速递,广东省,广州市,白云区,113.237539,23.160473
107,邮政速递(广州集散中心),生活服务,邮局,邮政速递,广东省,广州市,白云区,113.221512,23.178893
108,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.237676,23.173358
109,中国电信(上步村店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.239186,23.171203
110,中国联通维港专营店,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.238463,23.173275
111,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238881,23.173555
112,嘉忠物流中心,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.228676,23.187907
113,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.252257,23.182432
114,中国邮政(新市邮政支局),生活服务,邮局,邮局,广东省,广州市,白云区,113.258477,23.191196
115,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.236536,23.170985
116,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238297,23.170662
117,菜鸟驿站(泽德花苑内),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.238951,23.176253
118,圆通速递(新南二路店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.240537,23.170065
119,中国邮政(大石朝阳邮局营业部),生活服务,邮局,邮局,广东省,广州市,番禺区,113.318906,23.02701
120,广州新鸿运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.3179,23.01353
121,妈妈驿站(圆通速递),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.317757,23.012579
122,菜鸟驿站(正信电脑),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.31766,23.01261
123,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.317903,23.012546
124,德邦(大石礼村店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.322239,23.013531
125,菜鸟驿站(湘丰百货),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.316005,23.012239
126,中国电信智慧社区服务厅,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.318408,23.015988
127,中通快递(礼村东路分部),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.320665,23.012327
128,中通快递(北约街店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.315757,23.011962
129,申通快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.316228,23.011503
130,中铁快运(大石营业部),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.309391,23.010639
131,圆通速递(礼村中路),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.320965,23.010062
132,百世快递(礼村中路店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.315772,23.010568
133,中通速递番禺大石分部,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.320983,23.010407
134,中国电信(客村营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,海珠区,113.315024,23.099452
135,中国联通(丽影营业厅)自营,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,海珠区,113.323538,23.095948
136,会展邮政支局,生活服务,邮局,邮局,广东省,广州市,海珠区,113.331549,23.096435
137,中国移动(光纤宽带营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,海珠区,113.317892,23.091132
138,江贝小区快递寄存柜,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.31957,23.092143
139,中国邮政,生活服务,邮局,邮政速递,广东省,广州市,海珠区,113.316484,23.087081
140,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.319561,23.092163
141,菜鸟5号驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.316986,23.091614
142,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,海珠区,113.318971,23.095878
143,圆通快递,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.318555,23.090581
144,菜鸟驿站(桂田村南约大街3号店),生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.31673,23.09157
145,菜鸟驿站(广州市海珠区江贝小区店),生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.31926,23.0922
146,中通快递(桂田分部),生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.317705,23.091785
147,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.318693,23.090125
148,韵达南沙服务站,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.338215,22.844824
149,中国联通专营店,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,南沙区,113.338621,22.837992
150,龙兴物流,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.342601,22.854642
151,中国电信(榄核营业厅)银河厅,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,南沙区,113.340648,22.843664
152,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.334956,22.831718
153,智慧社区服务厅,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,南沙区,113.340582,22.843505
154,恒路物流,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.34313,22.844054
155,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.343083,22.843726
156,优速快递,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.343196,22.844038
157,中国电信(合沙营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,南沙区,113.340842,22.844644
158,顺心捷达,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.343527,22.865005
159,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.343504,22.839224
160,天天快递,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.334902,22.830686
161,榄核邮政社区微花市,生活服务,邮局,邮局,广东省,广州市,南沙区,113.339818,22.838557
162,中国联通(南沙榄核营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,南沙区,113.340159,22.838275
163,圆通快递(大生村),生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.346231,22.843803
164,中国移动(讯佳通信特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.318401,22.936123
165,中通速递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.318348,22.935475
166,百世快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.32145,22.930039
167,菜鸟驿站(广州番禺横江村北片7巷10号店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.318282,22.935469
168,番禺沙湾中通快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.327183,22.938159
169,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.331971,22.93815
170,广顺快运,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.331381,22.936823
171,中国联通(锦绣营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,番禺区,113.30955,22.970229
172,富都邮政,生活服务,邮局,邮局,广东省,广州市,番禺区,113.33297,22.943682
173,广州市骏康货物运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.323747,22.922599
174,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.332205,22.937528
175,菜鸟驿站(广州番禺莲湖大街五巷14号店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.332367,22.937511
176,广州德宏物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.333027,22.944572
177,越海物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.297079,23.493621
178,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.29312,23.492054
179,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.29306,23.489226
180,菜鸟驿站(广州花城市场店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.292495,23.492144
181,菜鸟驿站(家家乐超市),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.33444,23.46911
182,广州众行货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.294532,23.490131
183,中国联通(新港百货通讯专营店),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.334794,23.468563
184,菜鸟驿站(广州花都联安村店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.333767,23.47027
185,广州捷和信国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.334951,23.468611
186,圆通速递(妈妈驿站),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.334319,23.469348
187,志鸿物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.305897,23.555894
188,广州市花都区通安邮政代办所,生活服务,邮局,邮局,广东省,广州市,花都区,113.295904,23.550043
189,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.295411,23.548874
190,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.295461,23.550315
191,中国移动(营业店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.295393,23.548935
192,广州医药股份有限公司花都物流配送中心,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.357895,23.466034
193,京东物流(广州花山营业部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.281982,23.45305
194,广州市丰年国际货运代理有限公司（花都仓）,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.354909,23.463657
195,广州彪昊国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.357036,23.456161
196,中国联通5Gn智慧生活馆,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.309479,23.326107
197,菜鸟驿站(鹤亭西路),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.309415,23.326027
198,广州人和中通,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.30943,23.326006
199,福地物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.329017,23.323904
200,天骄物流园,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.355588,23.318566
201,百世快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.332679,23.332689
202,菜鸟驿站(广州白云龙塘中街148号店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.32941,23.336075
203,中国电信智慧社区服务厅(人和店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.298598,23.331699
204,佳吉快运,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.353551,23.310965
205,千鹏物流(广州公司),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.327066,23.321214
206,韵达快递人和分公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.327747,23.321129
207,中国邮政速递物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.303183,23.337631
208,中国电信(人和专营店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.300494,23.333042
209,华胜仓储,生活服务,物流速递,物流仓储场地,广东省,广州市,白云区,113.327049,23.328073
210,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.307542,23.347661
211,中国联通(人和营业厅)自营,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.297289,23.333333
212,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.303448,23.325212
213,中通速递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.299552,23.334523
214,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.331631,23.322205
215,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.300283,23.336505
216,菜鸟驿站(和乐中街店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.300851,23.334642
217,白云国际机场国内货站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307513,23.41354
218,国际航空货运站(广州空港物流中心综合业务楼西),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307762,23.42059
219,旭华国际货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.320142,23.41655
220,广州宏竣运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.320241,23.41681
221,民航快递营业部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.308166,23.410196
222,龙田物流(空港北二路),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307697,23.410447
223,中外运敦豪(778乡道),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.298904,23.422719
224,远忠运输,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.326699,23.416728
225,民航快递操作部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.308309,23.412397
226,九元航空航材库房,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.308235,23.410526
227,海南航空提货处,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307508,23.413819
228,中国邮政(广东省航空邮件处理中心),生活服务,邮局,邮政速递,广东省,广州市,花都区,113.30725,23.40714
229,深圳航空,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307824,23.415113
230,民航快递(空港北横三路),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.30816,23.409531
231,广州空港保税物流中心,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.31125,23.422484
232,民航快递机场托运部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307778,23.409581
233,中国国际航空公司国航货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307884,23.415375
234,拓运国际,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.310634,23.420037
235,佳联迅物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.309864,23.419648
236,隆力行达国际货运代理有限公司(机场仓),生活服务,物流速递,物流仓储场地,广东省,广州市,花都区,113.319923,23.41651
237,迈威物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.31015,23.419838
238,国际航空货运站,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.309522,23.419212
239,欧华国际,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.309907,23.419642
240,浚捷国际,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.316691,23.423499
241,天翼通物流集团,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.315349,23.423567
242,全球货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.313192,23.423935
243,嘉达货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.316628,23.42402
244,广州白云国际物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.311557,23.422476
245,穗佳物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.308922,23.420875
246,创途运输,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.314955,23.423886
247,广州安易发物流(机场营业部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.307749,23.410613
248,广州市薛航物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.306337,23.415031
249,白云国际物流园,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.311795,23.424285
250,跨越速运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.313254,23.423634
251,津睿星物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.315501,23.424407
252,国际航空货运站(福联置业西北),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.309528,23.420442
253,富邦物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.315196,23.424542
254,正捷国际货运,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.316987,23.426248
255,广州丰禾国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.310173,23.419937
256,广州亿鸿国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.315755,23.423409
257,联运通物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.305221,23.409343
258,广州市航世通物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.314427,23.424057
259,薛航物流园,生活服务,物流速递,物流仓储场地,广东省,广州市,花都区,113.307796,23.414733
260,中国移动沟通100服务厅(伍仙桥服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,天河区,113.318018,23.171268
261,中国联通同和营业厅(自营),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.325757,23.184149
262,中国移动(伍仙桥营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,天河区,113.317955,23.171182
263,中国移动(鸡颈坑路),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,天河区,113.318016,23.171123
264,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.318234,23.174618
265,菜鸟驿站(广州兴华荔枝岗8号店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.31942,23.17255
266,菜鸟驿站(广州鸡颈坑10号店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.317306,23.173404
267,菜乌驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.317389,23.170947
268,快宝驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.318944,23.174054
