,云顶沐足城,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,广州市,花都区,113.231347,23.397752
81,悦海休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.33694,22.832798
82,豪聚发宝林湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.334246,22.832161
83,沐足棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.336826,22.832344
84,艾康经络养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.317685,22.934275
85,品汇水疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.32478,22.971703
86,身泰经络养生(东桥大街店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.330314,22.943225
87,康宁推拿(西丽店)(装修中),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.353984,22.939216
88,琪琪养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.334308,22.924239
89,金汇水疗桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.30436,23.324977
90,伟翔沐足中心(人和店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.300285,23.331786
91,妙手推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297666,23.335859
92,南国水汇桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.303216,23.324365
93,天涯海脚扬州足疗修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297566,23.335761
94,旺角足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.299492,23.33141
95,好旺角沐足养生会所(人和店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.299417,23.331406
96,郑远元修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.298628,23.331797
97,凤港养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.298962,23.334615
98,飞凡SPA养生馆(人和大街店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.300187,23.3317
99,足尚堂休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297276,23.335481
100,同心足道养生会馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297301,23.344623
101,盈瑞沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.298301,23.335638
102,金龙湾休闲会所(广州市白云区中医医院西南),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.293552,23.337119
103,健乐盲人按摩(富和花苑西南),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.296018,23.335638
104,天海足疗修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297285,23.335487
105,紫微阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.297248,23.336117
106,足佳乐,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.3157,23.427574
107,天涯海脚沐足店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.315733,23.427552
108,怡心阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.320784,23.175495
109,祥和休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.318896,23.173302
110,九号行馆水疗城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.323061,23.149876
111,娜娜美容沐足养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.319057,23.173845
112,郑远元专业修脚房(梅花园),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.320631,23.176964
113,梅宾休闲阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.320875,23.17813
114,康圆盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.321201,23.177905
115,陕西专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.318794,23.166138
116,悦明休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.322633,23.168914
117,金和国际水汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.32179,23.178972
118,金典会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.316122,23.249333
119,足康沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.313438,23.252235
120,足康堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.317897,23.25327
121,风元采耳养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.3171,23.2552
122,一刘拔罐推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.317196,23.251956
123,舒元堂按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.316931,23.251364
124,中华足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.318125,23.255751
125,盛龙养生休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.318172,23.255807
126,康源盲人按摩(钟兴二巷),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.316396,23.254958
127,无水足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.316307,23.254321
128,福康盲人按摩所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.315042,23.252171
129,海畔湾养生会所(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.318853,23.256177
130,星海湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.318912,23.256257
131,名雅沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.315289,23.254553
132,祥和纳米汗蒸养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.315525,23.256379
133,沐足按摩棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.313569,23.252499
134,刁苗正脊堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.41697,23.237434
135,宸佑理容设备有限公司,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.412651,23.330385
136,立足点养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.382032,23.325149
137,长生园养身馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.380925,23.322837
138,锦民汇棋牌.沐足.按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.397061,23.093818
139,永康专业推拿养生馆(黄埔村分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,海珠区,113.398012,23.090681
140,新港湾足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.399643,23.171601
141,轩轩沐足休闲会所(凌塘村店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.400939,23.17063
142,雅婷养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.397803,23.16828
143,休闲养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.399141,23.167917
144,盲享盲人理疗体验馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.40052,23.168104
145,水云间汗蒸坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,天河区,113.400157,23.169649
146,清河足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.399935,22.936562
147,兴华沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.387264,22.932779
148,鸿脉美容店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.393105,22.934536
149,御水湾,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.417363,22.922816
150,艺足康专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.400107,22.936582
151,东怡新区盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.39206,22.933182
152,沐足按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.398547,22.937088
153,欣言养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.400196,22.938104
154,金禺龙沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.402048,22.942887
155,藏生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.396831,22.937355
156,陕西专业修脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.400983,22.937538
157,梦然四季休闲馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.400857,22.937391
158,静水沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.400767,22.937536
159,娜美足疗店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.399245,22.937956
160,新时代汗蒸房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.398461,22.938117
161,金月光沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.38629,23.003816
162,健壹堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.391305,23.007942
163,良典沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.386741,23.010737
164,善泽养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.391222,23.008201
165,水疗沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.391333,23.007894
166,郑远元专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.392249,23.006988
167,正德堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.389221,22.780931
168,忆足养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.389759,22.782071
169,蒸爱馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.390331,22.781224
170,鸿泉水疗会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.398177,22.8
171,姐妹足艺,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.386681,22.781741
172,东苑沐足中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.3995,22.798269
173,丰怡足道(装修中),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.400768,22.797393
174,夜猫养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.420484,23.424578
175,天之骄沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.420182,23.425384
176,好健康盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.374074,23.420053
177,滔滔足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.4228,23.426439
178,小海豚婴幼儿游泳小儿推拿产后恢复馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.417677,23.425709
179,龙泉水疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.41502,23.46048
180,悦龙沐足馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.415088,23.4603
181,东方夏湾拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.50269,23.469719
182,舒心堂按摩正骨,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.506973,23.579331
183,康元中医养身保健馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.479328,23.412197
184,足之缘养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.478638,23.411703
185,豪尔水疗会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.479908,23.429259
186,康美纳米汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.485061,23.431632
187,扬子养生光波房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.484435,23.430967
188,聚缘阁保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.484976,23.431619
189,中源沐足茶艺,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.477816,23.175531
190,威利斯休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.474527,23.181661
191,御泷健康养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.465559,23.168479
192,壹号棋牌沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.489212,23.166596
193,天娱休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.48938,23.167044
194,VanCat梵猫(萝岗万达店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.466059,23.166681
195,安闲泰·SPA按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.466545,23.16713
196,悦康阁休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.466178,23.164815
197,彭世修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.492352,23.171458
198,养生馆沐足棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.468503,23.019983
199,贡氏足道养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.487031,23.038055
200,康美爱家美容养生会所(潭山店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.459991,22.997343
201,一元堂筋脉按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.479665,23.094085
202,金逸足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.469192,23.098788
203,520天天来养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.478656,23.095666
204,身泰经络养生连锁(双岗店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.480566,23.090452
205,万颂缘休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.479478,23.094148
206,金水湾休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.482107,23.096227
207,黄金海岸休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.481856,23.096264
208,健宏堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.475549,23.095307
209,龙城水汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.472675,23.09642
210,郑远元专业修脚房(黄埔区广新路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.476559,23.094664
211,乐乐沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.486341,23.088608
212,康刮痧拔罐沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.470698,23.107641
213,广州千足堂中医养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.467672,23.099825
214,足悦沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.461776,23.100817
215,富足阁(广新路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.458301,23.105629
216,宋师傅盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.080748,23.387542
217,益民理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.080841,23.384904
218,金城美容美发,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.109625,23.334133
219,水胭脂(炭步店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.104088,23.333187
220,厚德推拿正骨,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.105303,23.34048
221,足可传奇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.10678,23.331573
222,红运沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.107347,23.33724
223,佰丽休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.110579,23.333334
224,百龄足足浴养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.105402,23.334367
225,新摩登休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166721,23.470802
226,淦阳楼休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166825,23.468619
227,银濠足道(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.157101,23.468997
228,联泽美容足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.155462,23.471146
229,康红堂盲人按摩(盘古中路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.15644,23.468285
230,怡家沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.155909,23.468914
