,鲜一鲜农庄,餐饮服务,中餐厅,中餐厅.1,广东省,广州市,花都区,113.238339,23.412032
87,隆江猪脚饭(龙塘路),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.235503,23.256212
88,南雄客家菜,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,白云区,113.238734,23.24754
89,辉杨美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.241623,23.256795
90,罐罐面店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.241116,23.256889
91,经济小饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.241306,23.248869
92,龙香居酒家,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236282,23.255515
93,正宗隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.24123,23.256572
94,田园饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.24179,23.254255
95,粉面世家(唐阁店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237974,23.256904
96,老家饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237462,23.256835
97,黄焖鸡米饭老上海混沌(唐阁),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237883,23.256904
98,红火麻辣烫,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.237641,23.256841
99,农家原味汤粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.245226,23.263396
100,卤味园面馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236503,23.249037
101,重庆飘香卤味,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.238425,23.257236
102,湘味木桶饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.23671,23.249058
103,港式烧腊店,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.242511,23.239394
104,启东食府,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.249534,23.255284
105,广式饭点,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.242482,23.243402
106,工厂美食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236057,23.249018
107,原味蒸饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.243647,23.237444
108,华莱士(白云唐阁),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.240698,23.256934
109,三姐早餐,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.244551,23.23798
110,美味快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.241817,23.256588
111,M记美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236438,23.248812
112,汕头牛肉粿(桃红西街店),餐饮服务,中餐厅,潮州菜,广东省,广州市,白云区,113.247273,23.26539
113,周记大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.227167,23.247575
114,沙县特色小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239428,23.334747
115,新楼村肠粉店(新楼路38号),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.240509,23.335218
116,唐记麻辣烫,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239338,23.335158
117,老上海馄饨店,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.239159,23.334364
118,地道美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239246,23.334665
119,胡记美食坊,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239436,23.334669
120,福禄寿蒸饺王,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239414,23.334729
121,周记饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239559,23.334757
122,粉面世家(Y150店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.239926,23.334642
123,昌记美食(Y150店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239396,23.334708
124,美虞记(新楼分店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239951,23.334692
125,权仔北庄火锅,餐饮服务,中餐厅,火锅店,广东省,广州市,白云区,113.235444,23.327917
126,好运来美食店,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.241665,23.335214
127,阳山养生馆,餐饮服务,中餐厅,火锅店,广东省,广州市,花都区,113.231682,23.334581
128,八方潮汕牛肉火锅,餐饮服务,中餐厅,潮州菜,广东省,广州市,花都区,113.228021,23.342204
129,柴火大队私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.229498,23.342343
130,特色杂酱刀削面(东镜店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.228437,23.341363
131,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.228073,23.340837
132,古湘古色(镜湖店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.230291,23.342572
133,常德土菜馆(镜湖店),餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.233087,23.343344
134,三婶农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.227395,23.339763
135,兰州正宗牛肉拉面,餐饮服务,中餐厅,清真菜馆,广东省,广州市,花都区,113.250708,23.352079
136,潮汕美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.232098,23.343002
137,港发餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.242035,23.34606
138,咏蜀楼特色川味馆,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,花都区,113.222118,23.355768
139,潮味猪杂汤粉(石塘店),餐饮服务,中餐厅,潮州菜,广东省,广州市,花都区,113.244129,23.346565
140,慰记西关肠粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.232842,23.343198
141,潮粤连锁快餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.246172,23.347368
142,广州花都区新雅木炭屋餐厅,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,花都区,113.246185,23.347211
143,小厨家家常菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.233312,23.308911
144,江西客家菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,花都区,113.234387,23.342714
145,壹心阁火锅店,餐饮服务,中餐厅,火锅店,广东省,广州市,花都区,113.222591,23.342223
146,福祥烧腊餐厅,餐饮服务,快餐厅,快餐厅,广东省,广州市,花都区,113.246159,23.347409
147,悦丰面馆(接龙里店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.239042,23.09349
148,MJ茶餐厅(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237716,23.0937
149,醉盈香食品快餐(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237244,23.093499
150,迎福(迎海福)酒家,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237503,23.093088
151,到咱家东北菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237806,23.093649
152,荣记美食,餐饮服务,快餐厅,快餐厅,广东省,广州市,荔湾区,113.239453,23.093647
153,老地方潮汕海鲜大排档,餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,荔湾区,113.23754,23.093611
154,无鸡不欢·靓鸡煲(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.236756,23.093402
155,珍伟猪肚包鸡(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.236953,23.092002
156,海南东山羊庄(芳村总店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.23672,23.091325
157,正宗潮州鱼蛋粉(芳村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,荔湾区,113.237278,23.093723
158,重庆烤鱼(花蕾路),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,荔湾区,113.236194,23.093226
159,品鸽楼靓鸽正,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,荔湾区,113.236903,23.093418
160,新记驴仔肉,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237173,23.089997
161,新记饮食店,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,荔湾区,113.237166,23.090016
162,芳姐农家鸡煲,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.236986,23.093438
163,泉记濑粉皇(芳村总店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.236418,23.093573
164,汕头福合埕牛肉火锅(花蕾总店),餐饮服务,中餐厅,火锅店,广东省,广州市,荔湾区,113.235719,23.092614
165,兄弟居小食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237285,23.093768
166,幸福小馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237299,23.094065
167,常记拉肠,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.237208,23.094257
168,阿婆髻肠粉店,餐饮服务,快餐厅,快餐厅,广东省,广州市,荔湾区,113.237267,23.094259
169,顺德一品粥(广州芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.236723,23.092869
170,小舍私厨,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.241083,23.096212
171,金记五味鹅,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.241663,23.092314
172,曼尼屋(花地店),餐饮服务,外国餐厅,西餐厅(综合风味),广东省,广州市,荔湾区,113.233703,23.094133
173,罗家鸡煲鲜食坊(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.240119,23.093667
174,肥佬林,餐饮服务,中餐厅,综合酒楼,广东省,广州市,荔湾区,113.235917,23.093802
175,鱼之鱼醉,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.23681,23.091659
176,电白风味菜馆(花蕾店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,荔湾区,113.236846,23.091727
177,一心幸舍(芳村店),餐饮服务,外国餐厅,日本料理,广东省,广州市,荔湾区,113.234885,23.097226
178,包府专业水饺云吞(花地百合园分店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,荔湾区,113.23646,23.094167
179,东升烤鱼,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,荔湾区,113.236146,23.091426
180,石头咕(芳村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.238304,23.097205
181,炭炉鸡煲(花蕾路店),餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.235547,23.092539
182,万岁料理(芳村店),餐饮服务,外国餐厅,日本料理,广东省,广州市,荔湾区,113.235798,23.097578
183,重庆万州烤鱼,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,荔湾区,113.235631,23.092583
184,筒骨鲜粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,荔湾区,113.234698,23.092185
185,凉皮先生(芳村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,荔湾区,113.233871,23.09456
186,正宗隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238736,23.173207
187,东北风味饺子馆(惠德北路),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.238914,23.173079
188,福润食家,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.2383,23.173231
189,豫都烩面,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239063,23.173058
190,兰州拉面王(横滘店),餐饮服务,中餐厅,清真菜馆,广东省,广州市,白云区,113.238155,23.173348
191,潮汕粿条汤粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238627,23.173237
192,和乐喜宴(俊荣广场店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238181,23.173539
193,熹熹螺柳州螺蛳粉正宗桂林人米粉,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.23934,23.173302
194,品鹅居,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238921,23.173098
195,九品卤鹅,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.238719,23.173159
196,鱼门街(横滘店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,白云区,113.236952,23.173632
197,民族团结烧烤店,餐饮服务,中餐厅,清真菜馆,广东省,广州市,白云区,113.238915,23.171325
198,大碗菜木桶饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239788,23.174718
199,湛江金地食府(横滘店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238102,23.173976
200,星期八碳火烧烤,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238998,23.173083
201,食缘大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238061,23.173291
202,正宗客家盐水豆腐,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.239352,23.174735
203,湛江鸭子饭(惠德北路),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238236,23.173217
204,聚味,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238128,23.174102
205,小湘村馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.240745,23.173208
206,同德皇宫海鲜酒家,餐饮服务,中餐厅,综合酒楼,广东省,广州市,白云区,113.237218,23.174995
207,清远人家(横窖店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238142,23.174166
208,正宗阳山农家鸡(同德围店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238951,23.172921
209,财记拉肠,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239531,23.172961
210,顺德火焰醉鹅(横滘店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237996,23.1737
211,有福气猪肚鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238021,23.173907
212,车田客家王,餐饮服务,中餐厅,综合酒楼,广东省,广州市,白云区,113.237184,23.175577
213,紫燕百味鸡(横滘店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.238836,23.173353
214,本味家宴,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236746,23.17357
215,盏记面家,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.23827,23.17388
216,魂斗螺柳州螺蛳粉店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237341,23.173535
217,一品亭大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.23863,23.173169
218,四季酒楼,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,白云区,113.237317,23.173544
219,淼鑫猪肚鸡(横滘店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239036,23.172817
220,丰荟喜点(横滘店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.237387,23.173437
221,锋锋云吞面馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.238321,23.171371
222,陈记潮顺(横滘店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.239368,23.17273
223,壹号炳记(横滘店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.239684,23.172297
224,花甲粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.239744,23.172814
225,康记,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.236824,23.174623
226,湘赣木桶饭,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,番禺区,113.318432,23.012806
227,鲜仙羡潮味猪杂汤粉世家,餐饮服务,中餐厅,潮州菜,广东省,广州市,番禺区,113.318268,23.012806
228,美味家台湾铁板烧自选快餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.317338,23.012885
229,一生一素素食馆,餐饮服务,中餐厅,中式素菜馆,广东省,广州市,番禺区,113.317425,23.014641
230,阿纤屋日式拉面,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.318124,23.012777
231,潮汕西桥牛肉店(万盛名家分店),餐饮服务,中餐厅,潮州菜,广东省,广州市,番禺区,113.314818,23.01298
232,老上海馄饨铺(礼村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.314323,23.012489
233,粤福猪肚鸡(大石四季花园店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317795,23.014697
234,牛莽莽全牛火锅(番禺店),餐饮服务,中餐厅,火锅店,广东省,广州市,番禺区,113.317868,23.015041
235,猪脚王(礼村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.318369,23.013034
236,老陕西面馆(礼村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.31497,23.014221
237,寿司猫·来自京都的寿司店(大石店),餐饮服务,外国餐厅,日本料理,广东省,广州市,番禺区,113.317853,23.015281
238,川湘御,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.320876,23.009807
239,香鲜特麻辣烫(礼村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.317133,23.012882
240,三味真火烧烤(大石店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317854,23.015239
241,川湘私房菜,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,番禺区,113.317248,23.014729
242,蜀九酸菜鱼,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317553,23.01463
243,福本寿司,餐饮服务,外国餐厅,日本料理,广东省,广州市,番禺区,113.318004,23.018242
244,华莱士(番禺礼村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.316922,23.012773
245,东北烧烤海鲜猪杂粥(大石店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317079,23.012914
246,一家鱼馆(礼村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.315718,23.012609
247,1906烤吧·小龙虾(大石店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317641,23.014622
248,刘福记北京烤鸭(大石店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317159,23.014736
249,1号油条豆浆先生(大石店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.317576,23.014628
