,美佳乐百货超市,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,广州市,花都区,113.239068,23.411943
108,联发士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.315476,23.571997
109,高塱士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.309691,23.555602
110,鹏仔便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.293131,23.553991
111,扫一扫便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.294094,23.551996
112,梯面鸿源商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.295008,23.550146
113,益民综合店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.294892,23.549604
114,罗农庄士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.280216,23.579172
115,7天优品酒店(广州白云国际机场店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.296814,23.335399
116,集贤超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.31047,23.325193
117,鑫发商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.312693,23.323912
118,嘉顺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.331005,23.332219
119,陆盛百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.308411,23.327072
120,随心意便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.310031,23.325728
121,天添便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.307277,23.337214
122,鹤云百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.3093,23.325714
123,便利店(花东店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.320366,23.416603
124,利信购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.324997,23.416751
125,利信百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.325068,23.41671
126,麻雀瓦舍自助便利微超,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.327313,23.418751
127,十三队小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.324331,23.422586
128,美宜佳(粤13226店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.31329,23.424053
129,七庄小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.33106,23.411874
130,好惠多商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.341114,23.399587
131,阿玉超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.325824,23.424835
132,喜市多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.313389,23.425175
133,金柱商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.31468,23.426996
134,柏源商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.309892,23.425887
135,高旺超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.310014,23.426209
136,三好百货(广州花都区),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.312312,23.42819
137,鸿盛百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.313899,23.426435
138,家家乐超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.309799,23.425674
139,创佳超市(红旗店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.318988,23.173582
140,芙蓉兴盛超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.319602,23.172767
141,银仪连锁超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.320161,23.173989
142,美宜佳(梅苑小区店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.319979,23.174138
143,惠佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.317305,23.17308
144,惠记超市(广州大道北),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.319599,23.172977
145,联惠超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.319706,23.172902
146,美加宜超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.319531,23.172908
147,便民士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.317468,23.17339
148,天平丽宇商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.317229,23.173071
149,东平美佳生活便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.318496,23.253589
150,顺兴佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.313991,23.250921
151,京东便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.318822,23.251762
152,维客佳(钟兴东一巷店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.317804,23.252364
153,美佳宜超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.318574,23.252094
154,创兴商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.317302,23.252077
155,乐购便利驿站,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.31707,23.253157
156,大利家生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.319401,23.251385
157,佳隆超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.3175,23.253359
158,喜洋洋便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.31704,23.25146
159,快乐惠(东平店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.317031,23.252789
160,品位行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.31892,23.251592
161,华利批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.317058,23.25381
162,全天易购,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.316949,23.252517
163,韩江电器小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.408569,23.263348
164,惠心平价百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.408593,23.268997
165,福昌隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.409736,23.268237
166,惠兴平价百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.408671,23.268835
167,华举坚百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.397937,23.271866
168,昌龙百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.39987,23.272115
169,白山禾堂岭超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.409322,23.268873
170,兴旺超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.404243,23.27286
171,风水塘士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.409963,23.269414
172,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.416979,23.237559
173,东发百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.369943,23.213388
174,好又好百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.363968,23.253097
175,百里易百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.4038,23.33652
176,大家好超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.394592,23.339625
177,喜洋洋便利店(2698分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.389147,23.33574
178,德平商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.39024,23.338019
179,汇兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.388046,23.329681
180,天成百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.39871,23.360037
181,佳德隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.388612,23.331013
182,新又佳平价超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.397635,23.092272
183,好食多零食,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.39833,23.091759
184,喜市多(黄埔村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.398903,23.095059
185,好运来超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.398065,23.09046
186,怀庄之醉海珠运营中心,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,海珠区,113.397907,23.092097
187,细妹百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.39763,23.16824
188,粤汇百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.398896,23.172834
189,新庄百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.398079,23.17259
190,佳润百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.399329,23.172057
191,益发便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.398309,23.171725
192,梅文便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.398885,23.17155
193,御福商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.397324,23.171911
194,佳鑫商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.399732,23.172845
195,小小便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.399634,23.171648
196,建涛经营部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.396873,23.171824
197,大利家百货(凌塘分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.399201,23.167956
198,万鑫批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.400063,23.171117
199,裕福兴超市(凌塘村新庄北路),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.397332,23.171889
200,爱家超市(凌塘村上街东),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.400253,23.17015
201,瑞芳超市(凌塘店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,天河区,113.397852,23.16829
202,万和百货(南村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.393286,23.007528
203,福润士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.397529,23.014063
204,福民百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.397134,23.015429
205,兴源士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.395723,23.012732
206,益园百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.3958,23.014114
207,余荫山房-小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.395378,23.011563
208,益平百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.397661,23.009867
209,琴姐士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.397291,22.769487
210,冰冰士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.400347,22.768193
211,宏达批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.393327,22.779124
212,惠佳商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.390018,22.781469
213,惠美士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.395529,22.765278
214,广西士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.390463,22.77893
215,佳慧便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.390985,22.780574
216,群珍杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.390471,22.781168
217,京东便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.390529,22.781419
218,双桂叶士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.386283,22.857411
219,通用零售批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.387478,22.847375
220,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.387298,22.848154
221,洪发士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,南沙区,113.388237,22.847712
222,春培商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.420385,23.585906
223,龙兴购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.42942,23.56492
224,西湖便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.401289,23.607242
225,利佳福超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.403292,23.648805
226,航凡商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.403242,23.648612
227,欣欣百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.41561,23.66951
228,桥头日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.408604,23.663727
229,大岭士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.402641,23.639066
230,忠裕百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.415222,23.649379
231,聚福超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.41582,23.649862
232,灿枢商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.409313,23.665106
233,登峰超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.417217,23.652862
234,晨辰商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.416931,23.652844
235,鑫旺商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.412775,23.641122
236,邱邱商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.411482,23.666199
237,兴记购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.411267,23.666315
238,三好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.411532,23.407588
239,港头士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.394884,23.422327
240,广州市白云区钟落潭淘缘休闲便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.393486,23.404058
241,福美倩百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.411772,23.407985
242,好惠多商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.40989,23.402218
243,众鑫商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.410084,23.403568
244,顺心百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.409744,23.402136
245,平平百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.409492,23.399882
246,铁峰百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.381265,23.417905
247,嘉兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.418525,23.455617
248,九湾庄百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.413907,23.464467
249,狮前商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.414813,23.524253
250,九龙湖商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.415302,23.461633
