,百世快递(沙井分部),生活服务,物流速递,物流速递.1,广东省,深圳市,宝安区,113.782577,22.722213
52,中国移动4g,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.809293,22.759469
53,蜂巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811421,22.759142
54,中国移动(联达专营店),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.802549,22.75723
55,深圳市保琪物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.807899,22.759715
56,深圳市航辰物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811701,22.765596
57,中国移动社区服务站,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.806508,22.758836
58,安能物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.806943,22.760412
59,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.815597,22.720511
60,菜鸟驿站(十三巷1号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808301,22.722204
61,菜鸟驿站(深圳沙井茭塘公园九巷10号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.809426,22.721164
62,中国电信(沙井营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.823063,22.729775
63,明记粮油配送部,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.807526,22.723379
64,双璟货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.815724,22.721184
65,百世快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.815894,22.721588
66,安能物流(沙井坣岗营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.815757,22.721231
67,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811519,22.726508
68,中国移动(沙井营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.825292,22.731316
69,深圳市昶乐物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.810832,22.681939
70,中国电信福海桥头服务厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.810414,22.684508
71,深圳市万瑞中港物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811378,22.680377
72,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.812153,22.670281
73,深圳市邦联威国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811237,22.680114
74,世纪鸿鹏物流(深圳福永站),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808897,22.68128
75,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.809219,22.681408
76,安晋捷运国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811677,22.678429
77,汇鼎通国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811327,22.678359
78,粤航通国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808466,22.680794
79,深圳市领航速国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.812411,22.678926
80,中国联通(福永万福营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,宝安区,113.824214,22.668634
81,力创国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.806552,22.681597
82,鹏达威物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.806492,22.680813
83,德邦(桥头卫生站北),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808653,22.686747
84,壹米滴答(福永福海营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808397,22.684876
85,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.810091,22.68535
86,中国电信(桥头营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.802373,22.688029
87,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.806915,22.684843
88,深圳市永盛欣国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.808478,22.680828
89,上海罗新国际货物运输代理有限公司深圳分公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811748,22.67863
90,深圳市锐驰国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.811065,22.677017
91,中快货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824168,22.640967
92,中外运敦豪DHL深圳口岸,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822053,22.638891
93,深圳宏驰物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824066,22.641076
94,联运通物流(机场四路),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827252,22.633741
95,环东货运有限公司(机场营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824202,22.64024
96,弘航通物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825226,22.640707
97,FedEx深圳业务口岸,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821827,22.63908
98,美择国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823602,22.648988
99,鸿飞越物流(机场四路),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82548,22.641055
100,递四方速递(机场部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822513,22.637861
101,中国邮政(机场支局),生活服务,邮局,邮局,广东省,深圳市,宝安区,113.826502,22.64184
102,丰本物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82429,22.640702
103,国凤物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823503,22.641547
104,晟德通物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824817,22.641349
105,骏辉物流园,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824518,22.640348
106,万国集通物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823971,22.641117
107,飞速达物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823968,22.641191
108,顺丰速运深圳宝安中转场,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823767,22.641704
109,飞帆物流(深圳海关国际快件监管中心东北),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824218,22.640219
110,兴鸿基物流园,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.828578,22.639633
111,涵文物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823946,22.641393
112,深圳机场国际货站有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823088,22.636306
113,好运物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825101,22.647901
114,深圳方达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821543,22.651928
115,上海协创公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825209,22.641353
116,深圳市飞翔达国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820503,22.650196
117,卓越速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823651,22.649033
118,裕丰国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822175,22.650952
119,天腾物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823406,22.649637
120,飞力士全球物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823434,22.646829
121,汇顺达国际速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824156,22.649235
122,雅超国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823107,22.650203
123,志诚天地国际货运代理,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824098,22.649453
124,华冠通物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.829919,22.640853
125,深圳棋洋国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823654,22.639533
126,中航联物流(航站四路),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82702,22.637232
127,深圳泓明供应链有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824944,22.641188
128,物流园国内货运村2期,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825086,22.640955
129,全路达物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822924,22.65104
130,顺成快递有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819718,22.653981
131,群利达货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824024,22.650341
132,鑫捷航空货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825085,22.640916
133,深圳市盛通货运有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.813486,22.60178
134,兴华运物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821973,22.611978
135,航空货站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821693,22.61201
136,大美物流(深圳公司),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821332,22.612591
137,深圳市柯莱货运有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821789,22.611882
138,深航货物发运处,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819307,22.616576
139,跨越速运(深圳机场店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822061,22.612118
140,快运通物流(进港营业厅),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821913,22.613331
141,神行速运仓库,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821943,22.61191
142,深圳市快运通物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821371,22.613224
143,龙田物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.817832,22.618873
144,深圳市德源物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.818625,22.618557
145,明达辉航空快运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.818969,22.61682
146,粤新通国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822347,22.650822
147,友信货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822648,22.650595
148,三和达国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827824,22.648498
149,凯时达速递(东福围西街),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819428,22.654401
150,联合专线,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823053,22.650272
151,华航物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.829057,22.640679
152,天域通运国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823012,22.649593
153,深圳立盟国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824129,22.641032
154,海达俄罗斯专线,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823156,22.650227
155,保利佐川物流有限公司机场营业点,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823819,22.641598
156,深圳市鸿太国际供应链,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824174,22.648888
157,顺丰速运广生营业站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821426,22.65206
158,百腾物流(机场营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820445,22.652868
159,快易航,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822695,22.650969
160,cdek国际快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821166,22.652369
161,长隆国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824584,22.649354
162,高翔物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823296,22.650488
163,深圳市英州国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820344,22.65311
164,深圳市驰晨国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824411,22.649813
165,深圳市航驿物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825861,22.640781
166,深圳市中马航国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825694,22.6411
167,跨个境,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821038,22.652703
168,深圳市创加现代物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825322,22.64087
169,东浩联运货运代理,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824447,22.649944
170,深圳深佳耀国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824512,22.640259
171,高盛国际物流公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823559,22.65303
172,深圳市全展货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824174,22.650611
173,深圳市优台物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824174,22.649041
174,福围航空物流园,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.823984,22.649414
175,众方国际,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828117,22.638758
176,深圳格威跨境物流服务,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822039,22.65214
177,ocs物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824333,22.640615
178,佳诚达国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822236,22.651055
179,鑫鸿运达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822266,22.652534
180,鼎信鸿国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824241,22.650497
181,富邦物流仓务中心,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.826891,22.639943
182,中国邮政,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.823349,22.653148
183,深圳市好顺达国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824221,22.640953
184,深圳市富衡物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82297,22.650485
185,百腾物流(机场营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828592,22.640138
186,杰辉兴围物流中心,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.828103,22.639471
187,深圳市帜远承货运代理,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821466,22.653048
188,亚太转运中心,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.830803,22.623482
189,路丰国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819745,22.654203
190,深圳他拍档国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824266,22.650368
191,嘉航捷运国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824235,22.650496
192,协诚物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828754,22.637571
193,畅承国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825057,22.649977
194,青铱国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820513,22.654666
195,华崴鹏达货运公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819341,22.65452
196,深圳市百分递物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822844,22.650291
197,BZS国际货运(暂停营业),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824284,22.650075
198,彬腾国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820011,22.654333
199,远泰物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82699,22.637321
200,秀驿物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819058,22.654831
201,近铁国际货运有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82526,22.63914
202,睿安达国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82323,22.652472
203,诚爵国际,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828414,22.647689
204,深圳DHL国际快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821846,22.655785
205,中通国际,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.819275,22.65485
206,迅捷速运中东专线,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82952,22.640668
207,兴围物流中心一期,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827969,22.639591
208,深圳市翠航物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820891,22.654038
209,启赛达货运国际代理,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822645,22.652703
210,下十围韵达分部,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823412,22.652007
211,天棱物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825172,22.650637
212,西部物流中心,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.829412,22.649262
213,秦溢物流机场操作中心,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.830107,22.638471
214,深圳市瀚羽国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.826107,22.648658
215,高飞货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82094,22.654637
216,坤达国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821983,22.653751
217,兴围物流中心Ⅱ,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827873,22.639765
218,帝欣国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823966,22.651833
219,深圳美港国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823067,22.649457
220,鑫丰物流(兴围南九巷),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.829447,22.637285
221,经纬国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821826,22.65427
222,兴围物流中心2期,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82796,22.639558
223,深圳市锐诚国际航运有限责任公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822207,22.651192
224,享时达国际物流代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820571,22.652531
225,深圳市万事达货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82156,22.655887
226,深圳市奔腾物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.826913,22.645859
227,深圳市佳时速国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821291,22.651469
228,中通速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828802,22.638806
229,快递小站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.826856,22.647846
230,超顺特国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821856,22.652976
231,宝安机场福围菜鸟驿站服务站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820563,22.653018
232,深圳市飞洋国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823933,22.649836
233,深圳市天壹国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821069,22.651744
234,深圳忠进捷运物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821812,22.653689
235,深圳市德航运通国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821147,22.65171
236,深圳市蒲公英物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820791,22.652909
237,深圳合众中港物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820347,22.653845
238,深圳市创捷通达国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825067,22.649625
239,万邮国际货运有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.822403,22.653614
240,深圳市易王国际快递有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82317,22.650364
241,陆深物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.82949,22.640909
242,追风逐日国际快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.825178,22.650858
243,镖多多国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824818,22.651422
244,深圳市邦盛国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821009,22.652556
245,宝安航空货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827361,22.647199
246,深圳市易派国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.823039,22.650143
247,惠通全球国际货运代理,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824517,22.649981
248,浩运达通运货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.820784,22.653751
249,言必行国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.827424,22.647285
250,深圳市环域天地物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824367,22.64909
251,筋斗云国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.824097,22.652351
252,深圳市顺顺飞国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.821143,22.652056
253,升华国际货运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.828191,22.647564
254,联合物流园,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.852077,22.804236
255,盛辉物流(松岗分公司),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.854553,22.801598
256,苏宇物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.854618,22.802215
257,深圳市中金兴物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.854557,22.801611
258,中国邮政集团公司深圳市塘下涌支局,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.842646,22.801053
259,速尔快递松岗分公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.847064,22.80319
260,深圳市中龙捷运物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.854582,22.802797
