,智勇闯关,购物服务,家电电子卖场,家电电子卖场.1,广东省,深圳市,宝安区,113.768216,22.724106
40,中国移动购机中心(福围店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.821348,22.652831
41,河南家俬,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.823473,22.652016
42,东北家私,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.823682,22.651889
43,客吉莱跨界数码馆(T3航站楼三店),购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.810194,22.629685
44,顺通家具,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.823968,22.651698
45,飞跃电脑科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.822265,22.652959
46,和兴五金电器,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.82249,22.651867
47,鑫盛电脑医院,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.822516,22.653869
48,黑口袋(深圳宝安国际机场T3航站楼),购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.811961,22.630764
49,沃4g手机店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.823296,22.651597
50,恒顺通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.822208,22.651708
51,兴达鑫办公设备,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.828967,22.638577
52,TCL产品体验中心,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.824798,22.650515
53,永坤电器,购物服务,家居建材市场,厨卫市场,广东省,深圳市,宝安区,113.824789,22.650529
54,佳顺电脑外设(淘宝店),购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.830435,22.638203
55,首航通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.824014,22.65172
56,恒信手机店,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.825429,22.649873
57,海磊石材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.852341,22.802039
58,爱恩斯大岩板,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852256,22.801963
59,新世纪石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.853048,22.802135
60,四通石业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852405,22.801967
61,方星源石业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852529,22.802007
62,宏巨石业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852642,22.802084
63,皓东石业,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.853329,22.801929
64,鑫恒利石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.853582,22.801933
65,宏泰石材厂,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.853806,22.802079
66,永达胶管,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.851871,22.804198
67,石博天下石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.853397,22.802753
68,深圳市石材交易中心,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852183,22.80434
69,惠云石材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.854185,22.802797
70,兄弟建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849642,22.804199
71,联合石材(广田路),购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.852006,22.804238
72,国美电器,购物服务,家电电子卖场,国美,广东省,深圳市,宝安区,113.862724,22.797131
73,焕达不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.851867,22.804533
74,深圳市亚力山卓石材市场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854597,22.803631
75,宝城钢材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.851983,22.805418
76,国美电器(松岗店),购物服务,家电电子卖场,国美,广东省,深圳市,宝安区,113.850718,22.760906
77,vivo官方授权专卖店,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.850557,22.764105
78,惠普打印机耗材专卖,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.851433,22.761889
79,中国电信光纤宽带报装(松岗天虹服务厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.850846,22.76386
80,永兴五金交电(朝阳四街),购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.845975,22.765696
81,中国移动(实惠指定专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.850619,22.767981
82,宝龙通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.850897,22.761894
83,顺泰红木家具,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.850975,22.760894
84,信百金电脑办公设备,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.851243,22.760841
85,中国电信,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.850827,22.761943
86,联想电脑(松岗专卖店),购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.85044,22.761153
87,格力专柜,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.851185,22.760738
88,奥特莱斯家居特卖仓,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.851238,22.76082
89,君诺电脑,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.851185,22.760705
90,华为笔记本专卖松岗店,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.851123,22.760845
91,乐安居(宝安沙井店),购物服务,家居建材市场,家具建材综合市场,广东省,深圳市,宝安区,113.843529,22.724393
92,丰源通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.851308,22.72262
93,台一五金钢材行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.851715,22.72243
94,基达白铁冷气通风,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849756,22.721468
95,扬中绝缘材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849761,22.721876
96,江南模具五金行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.850403,22.723034
97,精工不锈钢铁制品,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849733,22.721743
98,美兴厨厨具设备,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.849736,22.721337
99,福泰门业,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.8499,22.723176
100,粤阳不锈钢工程,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.850483,22.722992
101,苏宁易购(凤凰店),购物服务,家电电子卖场,苏宁,广东省,深圳市,宝安区,113.840751,22.688101
102,OPPO振兴通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.842147,22.68197
103,新联兴注塑部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.843331,22.682403
104,合盛五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.848794,22.626978
105,省钱厨具百货,购物服务,家居建材市场,厨卫市场,广东省,深圳市,宝安区,113.864065,22.644903
106,重明鸟高端艺术门,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.859316,22.643422
107,观湖沙石材料商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.844072,22.64045
108,黄生装饰工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.86091,22.643147
109,鑫文达家电销售,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.861758,22.645578
110,品优到家,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.862378,22.644692
111,顺鑫五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.850724,22.602401
112,胜通达五金机电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.851418,22.59925
113,源泰通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.851589,22.601075
114,国美电器(深圳宝源店),购物服务,家电电子卖场,国美,广东省,深圳市,宝安区,113.865644,22.567946
115,深圳市易源钢材有限公司,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.852818,22.559459
116,百信建材方木模板,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849811,22.564535
117,苏宁易购(西乡大道圣淘沙店),购物服务,家电电子卖场,苏宁,广东省,深圳市,宝安区,113.863954,22.573763
118,瀚天浩电器,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,宝安区,113.853819,22.562933
119,深圳汇源钢铁,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.853105,22.559281
120,三雄极光照明(西乡大道店),购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,宝安区,113.853835,22.56295
121,博世,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.849576,22.56496
122,中锦钢材交易中心,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.855324,22.555585
123,宗宏建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.870566,22.508929
124,松下空调(宝韵路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.852114,22.568831
125,格力电器4S专卖店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.868976,22.576614
126,中国移动宝源通信直销点,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.859808,22.566244
127,国美电器(深圳人人乐白金店),购物服务,家电电子卖场,国美,广东省,深圳市,宝安区,113.866827,22.56714
128,广源发钢材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.856069,22.556597
129,裕发五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854596,22.567364
130,宝佳源钢铁镀锌型材总汇,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.85521,22.556164
131,家通达(裕发互联网五金),购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.854738,22.567309
132,顾地管业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.855498,22.556393
133,泰丰侨钢管,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854048,22.555642
134,优佳科技(宝源店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.860021,22.566412
135,Gang Yi(七巧国碧海店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.855942,22.569055
136,佳鑫钢材(中锦店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854527,22.5543
137,水雨轩,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.863763,22.562337
138,中国移动(光纤宽带受理点),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.864455,22.566007
139,龙达兴钢铁板材加工,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.853906,22.554801
140,中国联通(财富港营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.868459,22.567979
141,深圳市松发建材有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854962,22.55571
142,广源锁具商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.856829,22.568466
143,井盖铸铁管批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.854804,22.554578
144,雅奇五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.861609,22.568628
145,联永盛建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.856633,22.555403
146,万信五金交电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.859091,22.566237
147,新隆五金工具店,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.881702,22.823481
148,福建老黄石材工艺店,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.873128,22.822253
149,勇腾科技电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.89117,22.801232
150,富韩娜家居工厂店,购物服务,家居建材市场,家具城,广东省,深圳市,光明区,113.894146,22.801767
151,创新电脑科技,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.894537,22.762145
152,创新电脑监控安防,购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.894506,22.762014
153,恒富夹板市场,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.899365,22.748752
154,鸿盛通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,光明区,113.895294,22.761244
155,华硕电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.894858,22.763001
156,祥安泰五金商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.88914,22.719002
157,东佳信电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.889144,22.719069
158,金龙羽电缆集团,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.889159,22.719096
159,立兴隆石业有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.892896,22.673701
160,深圳市宝安区鑫瑞建材商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.890699,22.675254
161,中国电信,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.89762,22.672618
162,金裕家具,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.896825,22.671795
163,美华居家具,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.887835,22.671116
164,天瑞电脑网络监控,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.899524,22.672056
165,宇通电脑,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.893784,22.670439
166,微网电脑科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.898452,22.672338
167,ViV0手机,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.891708,22.668932
168,联达金属,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.892885,22.672221
169,名科门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.888305,22.661022
170,家佳旺门窗厂,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.909279,22.653691
171,巧手匠家居服务,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.875227,22.661628
172,源盛木业装饰商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.891884,22.669942
173,洋城模具五金配件行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.899505,22.672002
174,成天泰电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.896519,22.671249
175,展源门窗装饰工程部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.890735,22.669369
176,家信电脑网络,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.891651,22.669358
177,创陆美工程部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.899715,22.671957
178,长顺发五金油漆批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.898149,22.672432
179,万诚门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.896567,22.671346
180,湘益陶瓷,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.892408,22.670264
181,祥和窗帘,购物服务,家居建材市场,布艺市场,广东省,深圳市,宝安区,113.891788,22.669372
182,振兴五金百货,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.891945,22.669202
183,中电数码,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.887307,22.600021
184,酷潮装修材料部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.888882,22.601287
185,熊泰通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.887198,22.600074
186,天堂偷渡客,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.888079,22.600066
187,红树湾家具,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.885104,22.58852
188,宝安电子数码城,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.895917,22.567174
189,宝安电子城,购物服务,家电电子卖场,数码电子,广东省,深圳市,宝安区,113.901137,22.554527
190,高雅窗帘,购物服务,家居建材市场,布艺市场,广东省,深圳市,宝安区,113.890213,22.564506
191,安顺门业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.890928,22.564454
192,兴达木业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.891881,22.565206
193,无印良品(壹方城购物中心店),购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.887159,22.553756
194,华美保温材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.893175,22.562243
195,南通水暖,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.891487,22.560997
196,东南雅新中式家具,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.898856,22.517505
197,乾坤专柜,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.901285,22.52048
198,红星美凯龙,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.901355,22.520166
199,东芝空调,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,南山区,113.900748,22.520651
200,左右沙发,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.901676,22.520782
201,斯堪维亚·德国MOLL,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.90106,22.520659
202,大自然,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.898856,22.517505
203,airland雅兰(红星美凯龙前海店),购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.901413,22.520599
204,阳光芭比诺(前海红星美凯龙商场),购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.898857,22.517506
205,席梦思SIMMONS(前海红星美凯龙),购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.901792,22.520492
206,HC28(前海红星店),购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.90159,22.52097
207,红星美凯龙全球家居艺术博览中心,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.901351,22.520665
208,灿升五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.8886,22.478706
209,创宇数码通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,南山区,113.887748,22.478876
210,兴明达五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.888604,22.478686
211,盛世百年家居,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.89371,22.488543
212,深圳赤湾工程有限公司,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,南山区,113.891686,22.474313
213,深圳市红湖华业建材有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.946611,22.82416
214,喜德盛体验中心,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.933344,22.795107
215,希腾电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.937653,22.794017
216,电器商城,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,光明区,113.942425,22.801244
217,格力(光明店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.942804,22.758519
218,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,光明区,113.922772,22.763244
219,中国移动(明智指定专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,光明区,113.945528,22.759281
220,品牌体验中心,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.938339,22.761358
221,瑞诚建材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.936417,22.760085
222,国美电器(长乐店),购物服务,家电电子卖场,国美,广东省,深圳市,光明区,113.948699,22.760218
223,达丽五金建材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.929233,22.767347
224,宁丰建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.936781,22.759764
225,豪婷厨具百货,购物服务,家居建材市场,厨卫市场,广东省,深圳市,光明区,113.923898,22.76475
226,深圳市光明区光明创鑫家电,购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.925264,22.764079
227,苏宁易购(长圳店),购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.918421,22.718215
228,创富五金模具电器,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.927098,22.717965
229,邓记不锈钢装饰工程部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.925431,22.719405
230,权发五金劳保,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.937372,22.724413
231,锦坚盛五金交电商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.926718,22.717883
232,金环宇电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.926878,22.717936
233,永嘉电脑(长贵路店),购物服务,家电电子卖场,数码电子,广东省,深圳市,光明区,113.923729,22.719219
234,实惠厨具百货(玉塘街道),购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.923912,22.719283
235,苏宁易购(石岩宝石南路店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.931438,22.677416
236,佳家顺家具广场,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.929535,22.684009
237,名创优品(深圳石岩店),购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.931055,22.6754
238,中国电信(石岩营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.939883,22.679859
239,格力空调专卖店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.927739,22.684333
240,美的(石岩联信旗舰店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.931878,22.681748
241,创维电视(石岩工厂直营店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.931853,22.681758
242,夏誉电视,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.931926,22.681757
243,金宝家具(石岩1号店),购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.934345,22.677738
244,热水器专卖,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.932931,22.681917
245,优街电讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.93333,22.681072
246,港龙家私,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.931377,22.682498
247,airland雅兰,购物服务,家居建材市场,布艺市场,广东省,深圳市,宝安区,113.937782,22.677644
248,博世(宝石西路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.932918,22.681749
249,华越通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.933202,22.681707
250,创维电视(石岩工厂店),购物服务,家电电子卖场,综合家电商场,广东省,深圳市,宝安区,113.922852,22.639133
251,源音数码,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.929069,22.639674
252,隆金不锈钢铝合金加工,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.928828,22.641799
253,连记陶瓷行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.936381,22.598836
254,蓝牙自拍杆,购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.928123,22.56884
