,健源商品店,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,深圳市,宝安区,113.773965,22.726737
28,宜美盛便利店(重庆路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782551,22.683206
29,喜仕多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782879,22.683368
30,鑫隆达便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.781506,22.676456
31,丰佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.783355,22.676267
32,旺中旺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782286,22.676374
33,美宜佳(好地方店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.783485,22.68333
34,佳福便惠百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.782119,22.687988
35,鑫爱家百货超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.785073,22.687979
36,美宜家,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811657,22.761841
37,美惠佳连锁便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810358,22.759318
38,可嘉商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811307,22.761181
39,兴盛便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811754,22.761404
40,锋黎商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811581,22.76101
41,兴裕隆便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811642,22.760954
42,天福便利店(深圳沙井向兴店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811607,22.761856
43,开心乐购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810022,22.756348
44,合友昌批发商行（步涌店）,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811376,22.760729
45,深圳爱心亭,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810224,22.723066
46,爱客轩便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.811516,22.722971
47,兴永泰便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810953,22.722957
48,e家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809892,22.722499
49,园区便利店(沙中路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809396,22.722342
50,美佳达百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.808179,22.72056
51,好运来便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809385,22.722456
52,信顺超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809328,22.721463
53,龙兴便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809519,22.723112
54,美宜佳(福海科技园店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810305,22.675329
55,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.812106,22.679899
56,新圳达商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810478,22.684568
57,诚信便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.807153,22.68869
58,美宜佳(重庆路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.809917,22.684773
59,好实惠,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.81969,22.690527
60,中国航油加油站-便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.826481,22.638766
61,特光百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.822176,22.652861
62,7-ELEVEn(机场北指廊),购物服务,便民商店/便利店,7-ELEVEn便利店,广东省,深圳市,宝安区,113.809712,22.631671
63,利成百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.830688,22.640961
64,汇佳百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.821032,22.652275
65,乐购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.820448,22.653198
66,乐购(广生1店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.821566,22.651354
67,好日子商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.825213,22.647956
68,每天惠智慧便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.820961,22.651482
69,美宜多(福惠店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.823368,22.648979
70,乐购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.817867,22.651296
71,7-ELEVEn,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.82135,22.65295
72,全家便利店(深圳宝安国际机场T3航站楼),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.810401,22.629737
73,彩虹便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.822651,22.650681
74,天猫小店铁盛商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.825339,22.648017
75,全家便利店(深圳宝安国际机场T3航站楼),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.812056,22.630808
76,好运多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.822702,22.650732
77,喜洋洋(香港旺角分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.826245,22.648155
78,大家好超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.828168,22.639144
79,维客佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.823748,22.650749
80,维客佳便利店(永福分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.823964,22.649108
81,吉家便利店·机场店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.82495,22.647814
82,下十围下沙四巷家乐通便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.824428,22.651385
83,美宜多(福围店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.820959,22.653361
84,美宜佳(宝安下十围福海店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.823683,22.650782
85,宝民商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.823654,22.654147
86,乐购(下沙二店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.824228,22.649648
87,糖果便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850637,22.802002
88,旺旺百货(一村二巷),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.846417,22.797817
89,湘隆士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.848762,22.805427
90,美宜佳(臻鼎生活区店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.856696,22.799949
91,世盛商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.848761,22.805409
92,集丰便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851692,22.722444
93,园区便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851251,22.721935
94,新世纪自选百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850824,22.722814
95,美宜佳(庄村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.857823,22.719321
96,吉旺商贸批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851844,22.722275
97,统一便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.849177,22.721377
98,万佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.854137,22.7202
99,千惠便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.844775,22.72011
100,百世邻里,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.849367,22.723365
101,宝兴隆商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850633,22.682317
102,天天商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850525,22.681602
103,福镇源商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850363,22.681763
104,凤凰山森林公园-商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.848721,22.682167
105,零食屋便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.843859,22.685302
106,驿站小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.848913,22.679797
107,靠山便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.848615,22.684697
108,祥之兴商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.849035,22.684961
109,美谊佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.846139,22.68381
110,凤岩古庙-商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.853913,22.675008
111,凤凰精品超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.844899,22.6846
112,万福强便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.845203,22.685222
113,至胜客,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.842585,22.681907
114,邱記便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.845702,22.686647
115,盛嘉和商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.842854,22.682942
116,盛兴平价商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.841769,22.681543
117,阿里之门(腾丰大道店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.843113,22.682593
118,志诚便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.845103,22.687149
119,买佳乐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.843338,22.686312
120,好宜佳百货超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.842003,22.681859
121,润发便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.842302,22.682334
122,民生24小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.841155,22.637898
123,全佳服,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.86229,22.636196
124,好友便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861965,22.658064
125,万家乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.85709,22.657073
126,好方便钟屋分店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.85054,22.623955
127,捷惠客,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.862233,22.636419
128,陆旺百货生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861533,22.644363
129,迦南乐意百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850987,22.633352
130,华美百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.864065,22.646629
131,友联百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.843688,22.634135
132,天宇便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.860452,22.645371
133,万家乐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.86074,22.645275
134,恒发便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861417,22.643405
135,福润便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.860776,22.645533
136,信顺连锁便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850817,22.601678
137,美宜佳(西乡新屋园西4421店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.847984,22.600127
138,大乐购生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851789,22.600689
139,顺丰商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850328,22.597593
140,易佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851493,22.60212
141,万家盛生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.852778,22.601007
142,有一间便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851936,22.601549
143,壹站式百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851611,22.602339
144,美佳乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.85078,22.601985
145,佳美百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.84751,22.604378
146,莫欺少年穷,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850956,22.560444
147,美宜佳(宝安西乡马鞍山店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.862472,22.565143
148,天虹微喔(富通城一店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.854605,22.567347
149,美宜佳(宝安西乡海城路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.866363,22.564793
150,天猫小店宜便利,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.854679,22.568341
151,鲜惠生活超市(铲岛路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.859745,22.562239
152,食行家(富通城店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.854747,22.567325
153,吉米,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.858838,22.566472
154,全天候24小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.856712,22.567336
155,天虹微喔(幸福港湾店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.856837,22.567237
156,好运来·臻品,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.850971,22.569799
157,580我帮您便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.859289,22.564778
158,华丰前海湾便利仔,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.852445,22.569216
159,Simple杂货铺,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.857328,22.567585
160,家乐通(宝源二区店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.859739,22.566128
161,易站(碧海店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.856952,22.568185
162,天虹微喔(华丰前海店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.851733,22.569735
163,品润鑫商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.853816,22.569684
164,美宜佳(宝源二区店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861884,22.564004
165,佳乐通便利店(铲岛路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861111,22.563728
166,美宜佳(西乡时尚步行街1967店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.859861,22.565942
167,美宜佳(兴业路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.85498,22.570073
168,欧可便利店(铲岛路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.861045,22.563728
169,家乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.865574,22.571697
170,汇客士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.873038,22.822846
171,天福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891128,22.801167
172,新恵众百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891749,22.802052
173,李松朗西区66栋信顺便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.886514,22.799818
174,维客佳家(友分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891274,22.801996
175,里加成百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.89147,22.801305
176,如意便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.892,22.801537
177,万和生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891077,22.801035
178,美佳诚,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889814,22.801509
179,鹏兴批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891273,22.800783
180,潮水便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.890379,22.800628
181,美宜佳(李松朗店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889825,22.801561
182,永祥百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889791,22.801406
183,左邻右里,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891235,22.800629
184,邓发百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889757,22.800924
185,富民家家乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889753,22.800894
186,24小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889782,22.801052
187,合兴便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.890096,22.800571
188,家福生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894611,22.762654
189,佳乐生活超市(第三分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894739,22.761822
190,美惠佳便利连锁店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894639,22.761968
191,美佳惠便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894467,22.762902
192,無名商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894598,22.762977
193,昌盛隆百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894068,22.759681
194,万众百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894942,22.762878
195,嘉宝批发商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.895336,22.762496
196,易站便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894968,22.761543
197,美天惠便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.893263,22.758583
198,维客佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.8954,22.76225
199,鸿运百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.889659,22.715641
200,长隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891904,22.720776
201,粤兴文具劳保,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.891697,22.720741
202,家家乐超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.89485,22.723282
203,草鸿便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.89483,22.722995
204,隆美福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.888957,22.718439
205,信顺连锁便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.894618,22.717394
206,美宜佳(公明塘家村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.903768,22.726878
207,汉海达工业园小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.890755,22.717393
208,陈友荣便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.896386,22.722567
209,万众生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.893525,22.717356
210,美宜佳(玉律二区店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.893885,22.715736
211,新城生活超市(环玉路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.896186,22.716905
212,美易福商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.888577,22.717213
213,芯芯超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.890714,22.683621
214,景扬杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.892851,22.674883
215,佳达百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.890317,22.667187
216,天福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.889771,22.666383
217,平安百货(料坑公园分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.893049,22.669478
218,麻布新村(士多店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.899853,22.673222
219,天天来百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.897483,22.672605
220,新天福便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.900344,22.674585
221,陆新百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.900244,22.674023
222,荣盛烟酒日用百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.898212,22.672491
223,金源便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888186,22.670998
224,南岗便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.91066,22.651963
225,好又多商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.908821,22.654208
226,天福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.910442,22.65257
227,美宜佳(塘头工业园店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.910961,22.65187
228,佳美百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.91123,22.652917
229,富青山便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.909889,22.654757
230,惠优便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.893123,22.661484
231,惠客佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.910639,22.651972
232,深圳宝安区石岩紫真百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.894069,22.669773
233,佳宜便利百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.890936,22.668531
234,惠百,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.896633,22.671371
235,邻里生活便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.892111,22.668309
236,荣达百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888313,22.599273
237,新丰百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.885736,22.601245
238,深发百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888325,22.600309
239,新嘉乐生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.886214,22.601655
