,金都汇,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,深圳市,宝安区,113.784945,22.716002
52,汉仁宫养生坊(松岗店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.852714,22.764481
53,康达推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.855035,22.765288
54,佳丽沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.849321,22.721352
55,新祥和会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.849603,22.716868
56,铭都上南酒店休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.840265,22.720241
57,清枫御足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.846212,22.720162
58,金贵足休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.857909,22.719513
59,古功夫肩颈(美珀莱),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.844545,22.719641
60,好歌星沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.840667,22.721427
61,歌舞沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.85819,22.719616
62,仙乐足浴城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.846754,22.711151
63,水榭凤凰,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.843541,22.685511
64,皇庭沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.843419,22.685508
65,丹兰汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.839352,22.686331
66,可暧理疗中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.839678,22.686404
67,顺康筋骨理疗中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.841091,22.689279
68,陕南足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.838481,22.688567
69,碧波庭养生馆(凤凰店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.838456,22.688577
70,鸿运生大众足浴(九围五店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.862092,22.644355
71,瑶厢阁康足坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.862843,22.645849
72,鑫三和休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.86447,22.643991
73,南国水岸国际水会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.856993,22.611174
74,中医理疗美容养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.851328,22.602785
75,刮痧拔罐(固戍店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850692,22.602715
76,颐萃堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850712,22.602702
77,金丽足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.852647,22.602754
78,圣汇理疗馆(固戍二路第二分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.851789,22.603
79,鑫春雨养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853099,22.600971
80,御福园K歌足浴按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850999,22.599078
81,希雅童小儿推拿健康调理中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850961,22.602829
82,回春推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850166,22.603402
83,海琴湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850725,22.59865
84,千里足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853614,22.60161
85,汉氏足道(千足缘店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853622,22.600554
86,舒心足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.853658,22.600556
87,金宝休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.850233,22.598161
88,一心采耳(固戍店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.851655,22.604249
89,罗氏中医推拿(固戍店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.847465,22.602524
90,张老足底(富通城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.854334,22.567918
91,足音坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.854737,22.568883
92,健合盲人按摩(富通城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.854322,22.569212
93,宝利堂健康调理中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.855797,22.56769
94,舒雅养生馆(悦和路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.85711,22.569708
95,霖鹏足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.857191,22.56964
96,月亮湾休闲会所(宝源路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.86441,22.567841
97,和本堂中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.858124,22.570798
98,妙手盲人中医按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.860505,22.564213
99,紫阳专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.85706,22.570313
100,喜艾养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.858393,22.570769
101,昌利盲人穴位推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.862823,22.568942
102,汉鼎休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.862734,22.569072
103,金海港休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.870663,22.579376
104,水雨轩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.863763,22.562337
105,百顺养生坊(西乡店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.868395,22.565015
106,康盛源按摩养生中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.863898,22.562885
107,百年御足馆(宝源店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.866568,22.567283
108,昌利穴位推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.862821,22.568932
109,和本堂中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.869618,22.579541
110,大汉养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.860838,22.570871
111,养生按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.891347,22.800364
112,瑶厢阁康足坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.888524,22.800459
113,妙方智能足道养生坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.892557,22.765389
114,金全推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.89216,22.765175
115,正元足道养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.8984,22.764347
116,草苞中医理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.895965,22.718008
117,盛海足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.895873,22.717668
118,经络美容养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.896062,22.717657
119,茜茜鑫足阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.893256,22.715836
120,幸运足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.892236,22.715273
121,御之堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.898327,22.7189
122,兰兰养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.89916,22.719523
123,鹤强修脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.898725,22.718465
124,盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.889918,22.666578
125,百岁堂足浴按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.885534,22.601026
126,佰旺足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.887618,22.600077
127,百姓养生理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.888052,22.601103
128,新安闫氏保健按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.891217,22.563127
129,彭世修脚(翻身店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.893371,22.562454
130,张老足底(中心区店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.879598,22.563122
131,海浪休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.896392,22.557176
132,古功夫肩颈(百莲凯南山店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.890321,22.562199
133,伊香园休闲会所(罗田路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.883082,22.562126
134,足艺王足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.888468,22.559678
135,郑远元专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.888434,22.564058
136,彭世修脚(广隆阁店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.888699,22.564101
137,风采休闲会馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.892792,22.561941
138,韩蒸天下汗蒸馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.891817,22.556191
139,肖氏推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.888578,22.564528
140,林家女孩(翻身店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.894251,22.559329
141,汉仁宫养生坊(宝安店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.889809,22.558096
142,海旺社康针灸推拿室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.889713,22.559347
143,海浪休闲会所养生坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.88458,22.519037
144,济民堂推拿(南山店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.904426,22.511139
145,手功夫国医馆(诺德店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.903975,22.509535
146,创新足专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.904008,22.510912
147,尚伊美美容美甲SPA,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.904092,22.510838
148,月河湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.888594,22.478484
149,一方缘会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.888518,22.478541
150,悦会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.894059,22.487697
151,朋来足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.888755,22.493586
152,鑫鑫源,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.930817,22.786027
153,御海皇都休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.944901,22.760095
154,姜润养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.921232,22.765161
155,皇家沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.942981,22.757973
156,生源国际会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.925972,22.725092
157,鑫港湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.92015,22.71885
158,成辉足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.939488,22.730692
159,康怡园养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.939802,22.730682
160,瑶厢阁康足坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,光明区,113.936437,22.733312
161,桃花山养生园,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.933519,22.681543
162,曾氏中医推拿(石岩老街店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.931571,22.679089
163,似水年华国际会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.928229,22.683131
164,心和美K歌沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.93349,22.681001
165,欢乐海岸健康水会(石岩店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.931567,22.678049
166,鹏式足疗养生园(石岩店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.934447,22.68049
167,和顺艾灸馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.93412,22.67909
168,龙凤翔店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.941836,22.679244
169,安然纳米汗蒸养生会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.928593,22.641193
170,盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.928725,22.641158
171,朱星星盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.928637,22.64115
172,利金足道(松柏路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.927503,22.640044
173,鑫妃港会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.924026,22.646319
174,足浴推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.931595,22.635451
175,盲人按摩(同沙路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.948726,22.583896
176,银老太侗浴馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928466,22.583907
177,药美人养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.930799,22.585272
178,康健休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928025,22.551441
179,金同足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.922762,22.567612
180,伍氏专业中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928534,22.549088
181,三合盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928804,22.550064
182,深圳市海韵轩桑拿中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928023,22.521721
183,汉仁宫养生坊(南山店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.924178,22.51629
184,君悦轩会所(南光路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.92718,22.521471
185,大师傅推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929753,22.517875
186,耳道世家(后海店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931927,22.520225
187,御指通养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.926789,22.519669
188,罗世足艺堂(南光店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.92753,22.521176
189,君庭云悦按摩SPA(海岸城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931685,22.518154
190,正经推拿(海岸城中洲店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.934118,22.517789
191,沐足房养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.926353,22.524174
192,手技王(佳嘉豪苑店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.930697,22.516326
193,佰纳休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.924283,22.526026
194,一刻间新生代按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.935491,22.518324
195,莱富堂中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931806,22.484198
196,第伊休闲按摩足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928513,22.488607
197,记得来足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929137,22.485992
198,汉方足浴修脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928434,22.485236
199,月亮湾足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928132,22.485993
200,悦足宝,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928929,22.486176
201,桑拿足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931531,22.48641
202,民间缪师傅保健按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.930001,22.486836
203,金足缘足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928227,22.485327
204,好心情休闲屋,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927312,22.485936
205,美美足浴修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929556,22.486512
206,风彩足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929251,22.486228
207,足之道足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927683,22.485494
208,客莱乐足浴推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928281,22.487116
209,拉菲酒店·按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927323,22.485907
210,爱足轩专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927633,22.487149
211,好心情足浴推拿棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927358,22.485915
212,鹏式足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928132,22.485993
213,晨安和健康管理,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.932901,22.487041
214,桃花源·养生SPA,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927838,22.487008
215,金星海会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.968848,22.705246
216,沐足保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.961082,22.683032
217,御鑫堂足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,113.982727,22.678314
218,深圳麒麟山庄足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.972721,22.606623
219,名仕玉媛养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.964638,22.593097
220,汉方养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.96505,22.587452
221,古点盲人按摩(紫罗兰店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.967028,22.586323
222,古功夫肩颈(天使奇迹店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.966148,22.587603
223,天悦蓝湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.986416,22.589455
224,尊龙休闲e站,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.986,22.58908
225,金色海岸休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.965562,22.583623
