,吴仕娣诊所,医疗保健服务,诊所,诊所.1,广东省,深圳市,宝安区,113.783681,22.724646,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
25,深圳王召诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.813757,22.755108,,,,,
26,深圳永安门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.815766,22.753708,,,,,
27,展发口腔保健,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.815277,22.754183,,,,,
28,深圳豫深诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.809441,22.753326,,,,,
29,深圳宝润康门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.803083,22.757708,,,,,
30,深圳康明门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.808329,22.722014,,,,,
31,李楚明中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.814641,22.718617,,,,,
32,深圳邓钊中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.815382,22.716938,,,,,
33,深圳程振勇诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.808935,22.686229,,,,,
34,深圳陈田诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.81046,22.690162,,,,,
35,深圳林华诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.81033,22.672993,,,,,
36,鸿德润西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.803859,22.687389,,,,,
37,祖传骨伤科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.811834,22.672737,,,,,
38,深圳桥南廖玉和诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.810575,22.690562,,,,,
39,雅洁牙科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.81116,22.690711,,,,,
40,深圳黄汉恩诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.823138,22.651119,,,,,
41,洪英牙科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.822006,22.652671,,,,,
42,黄锦发西医外科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.823823,22.650989,,,,,
43,深圳顺鹏中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.822244,22.652209,,,,,
44,刘文贤口腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.823956,22.651063,,,,,
45,毒门跌打,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.825135,22.650095,,,,,
46,深圳卓氏长豪诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.825696,22.649578,,,,,
47,深圳郑明新囗腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.822819,22.653792,,,,,
48,深圳王培润中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.825027,22.650402,,,,,
49,深圳元大怡安中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.829613,22.644782,,,,,
50,宋凯中医内科诊所(东福围西街),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.821884,22.652756,,,,,
51,深圳宝瑞诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.830316,22.638404,,,,,
52,李晓芳中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.831439,22.635757,,,,,
53,冼应天西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.83141,22.63577,,,,,
54,深圳弘名西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.817516,22.668786,,,,,
55,深圳新丰西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.800621,22.672779,,,,,
56,深圳鹏健诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.824449,22.674751,,,,,
57,翁英西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.821823,22.673958,,,,,
58,深圳郑艳诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.804339,22.669389,,,,,
59,张贤珍西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.802553,22.670903,,,,,
60,深圳刘迪西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.801959,22.670677,,,,,
61,杨爱英西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.799312,22.673209,,,,,
62,深圳淑霞诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.818453,22.668899,,,,,
63,深圳若水堂中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.79881,22.688037,,,,,
64,深圳谢信诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.827268,22.681622,,,,,
65,深圳爱辛诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.825726,22.6754,,,,,
66,伦康口腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.801665,22.670373,,,,,
67,谢信西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.8272,22.6815,,,,,
68,况丽萍中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.800039,22.670931,,,,,
69,微笑牙科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.801495,22.669527,,,,,
70,深圳邓健锋囗腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.801952,22.669176,,,,,
71,深圳福兴诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.821759,22.693783,,,,,
72,黄多茹中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.845084,22.802307,,,,,
73,戴元坦西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.844865,22.798539,,,,,
74,深圳黄丽荷诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.844443,22.800966,,,,,
75,郑生口腔用品,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.845995,22.797539,,,,,
76,塘下涌二村诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.844586,22.80089,,,,,
77,深圳志业诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.844924,22.798679,,,,,
78,深圳德源西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.842579,22.803486,,,,,
79,深圳广康门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862906,22.802428,,,,,
80,贺红林诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.840734,22.802675,,,,,
81,深圳塘下诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.842321,22.805865,,,,,
82,口腔牙科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.841495,22.800569,,,,,
83,深圳东方社区门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.845074,22.762273,,,,,
84,三道康中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.852959,22.762348,,,,,
85,深圳大荣门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.8538,22.762141,,,,,
86,深圳道丰堂立元中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.853787,22.763676,,,,,
87,深圳楼岗合康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.854968,22.763189,,,,,
88,老中医(松岗旗舰店),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.849844,22.765356,,,,,
89,帮宁康中医养生馆,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.850974,22.766752,,,,,
90,深圳张德勇中西内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.848945,22.719356,,,,,
91,深圳张德勇西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.848896,22.719335,,,,,
92,宝沙联医务室,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.850319,22.717304,,,,,
93,老中医(庄村店),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.857687,22.719789,,,,,
94,深圳泽松诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.858076,22.719048,,,,,
95,九连山跌打,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.847478,22.714842,,,,,
96,深圳益安诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.846001,22.714894,,,,,
97,深圳上南西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.843964,22.715796,,,,,
98,金寿康中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.840443,22.688217,,,,,
99,郑少滨诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.839502,22.692491,,,,,
100,深圳卓氏一德诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.838149,22.691652,,,,,
101,王少华中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.832552,22.674044,,,,,
102,福永人民医院凤凰分院-肛肠科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.83386,22.691513,,,,,
103,深圳钟伟中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.83518,22.690439,,,,,
104,深圳九为西医,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862767,22.643878,,,,,
105,张涛圣德堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.86247,22.644718,,,,,
106,余策春西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.843496,22.633771,,,,,
107,深圳恒丰诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.865755,22.629698,,,,,
108,深圳谭茂君诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.864101,22.646212,,,,,
109,金念诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.863835,22.636192,,,,,
110,深圳博道精诚中医门诊部(装修中),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.840526,22.634325,,,,,
111,深圳君诚诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.845039,22.627898,,,,,
112,深圳益善诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.8346,22.636113,,,,,
113,深圳伟保门诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.832483,22.636935,,,,,
114,林培德中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.845211,22.625873,,,,,
115,深圳惠医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.851454,22.60103,,,,,
116,深圳仇若楠诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.852768,22.601334,,,,,
117,深圳上围园中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.852536,22.601444,,,,,
118,陈祥喜西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.849394,22.601889,,,,,
119,深圳敬兴诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.847762,22.601766,,,,,
120,厚昌福中医养生堂,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.859268,22.56182,,,,,
121,牙科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.856966,22.567135,,,,,
122,夏伟峰中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.859297,22.56185,,,,,
123,福麟中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.854672,22.568942,,,,,
124,全科门诊,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.85439,22.569179,,,,,
125,深圳夏伟峰中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.859325,22.561876,,,,,
126,深圳宝民门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.868999,22.564575,,,,,
127,深圳市宝安区中心医院劳动社区健康服务中心全科诊疗门诊,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.854635,22.566998,,,,,
128,华缘聚(华悦聚口腔门诊部),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.85649,22.569638,,,,,
129,康乐医疗中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.856583,22.570658,,,,,
130,深圳普瑞堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.848882,22.572005,,,,,
131,科怡康健康中心,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.854536,22.5723,,,,,
132,李君丽西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862702,22.565387,,,,,
133,深圳康诚诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862671,22.565414,,,,,
134,深圳钟国强西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.848695,22.573161,,,,,
135,刘淑萍诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.865282,22.56496,,,,,
136,深圳高运志诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.86467,22.567489,,,,,
137,固源堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862289,22.573076,,,,,
138,爱民诊所(劳动路),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.865812,22.568638,,,,,
139,深圳元大御善堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.860332,22.57413,,,,,
140,深圳祥顺诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.866855,22.56944,,,,,
141,黄瑞琴西医妇科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.866699,22.569559,,,,,
142,深圳问童堂,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.860898,22.575737,,,,,
143,豫康内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.865651,22.572045,,,,,
144,诺德齿科麻布新村九巷,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.869075,22.570487,,,,,
145,苏振宇诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.871105,22.566195,,,,,
146,苏振宇西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.871066,22.566137,,,,,
147,深圳嘉濠西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.862435,22.578388,,,,,
148,张海生中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.870286,22.571588,,,,,
149,刘富裕西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.868127,22.573262,,,,,
150,深圳左兵红诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.865566,22.57698,,,,,
151,深圳德立康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.870306,22.57161,,,,,
152,元大健生堂中医诊所(蟠龙居店),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.870906,22.575127,,,,,
153,许仿荣诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.869853,22.580687,,,,,
154,深圳刘建光中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.889497,22.800219,,,,,
155,诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.893888,22.802125,,,,,
156,深圳唐度和诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.887079,22.803841,,,,,
157,深圳唐联辉中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.885925,22.801943,,,,,
158,唐联辉诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.886068,22.802206,,,,,
159,王勇西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.898876,22.802095,,,,,
160,深圳王勇诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.898789,22.802127,,,,,
161,深圳市光明新区公明胡爱兵诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.885642,22.800569,,,,,
162,王占军诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.900992,22.79914,,,,,
163,深圳仁泓诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.895133,22.763149,,,,,
164,深圳仁泓西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.895133,22.763156,,,,,
165,杨瑞光中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.895375,22.761992,,,,,
166,深圳暖之心中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.892048,22.765143,,,,,
167,新围社区健康服务中心(振明路),医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.908695,22.769016,,,,,
168,深圳王道举西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.900278,22.757435,,,,,
169,深圳郭梅华中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.900899,22.755737,,,,,
170,深圳刘卜敏中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.898516,22.753316,,,,,
171,深圳马田爱尔眼科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.903027,22.766683,,,,,
172,深圳同胜口腔门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.903106,22.766797,,,,,
173,但柏炎诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.897075,22.717461,,,,,
174,魏丽涛西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.893038,22.715922,,,,,
175,深圳陈雷诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.892,22.714373,,,,,
176,深圳张志卫诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.898946,22.718454,,,,,
177,深圳春云诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.899546,22.719012,,,,,
178,深圳李兵中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.90108,22.726801,,,,,
179,深圳张伟华诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.89866,22.729576,,,,,
180,深圳惠康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.902093,22.725404,,,,,
181,深圳惠康中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.902152,22.725419,,,,,
182,杨志森西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.890367,22.669202,,,,,
183,深圳市任达爱心护理院门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.904906,22.664339,,,,,
184,正大德辉科技有限公司医务室,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.887773,22.665515,,,,,
185,深圳市光明区明松庭西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.898957,22.731074,,,,,
186,深圳益康门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.90577,22.715843,,,,,
187,深圳龙湾诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.905464,22.728451,,,,,
188,深圳麦汉基诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.904488,22.730512,,,,,
189,南岗工业园医务室,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.911275,22.651976,,,,,
190,星湖门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.906455,22.707736,,,,,
191,孙红珍西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.907184,22.771039,,,,,
192,深圳妙春堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.888504,22.779272,,,,,
193,鸿斌诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.886065,22.601026,,,,,
194,深圳君林中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.884666,22.599899,,,,,
195,赵来发口腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.884556,22.599802,,,,,
196,都市中医诊所连锁,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.881519,22.597278,,,,,
197,深圳黎俊洋诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.880149,22.597387,,,,,
198,牙科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.881352,22.594515,,,,,
199,景康中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.881418,22.594416,,,,,
200,论济堂,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.892446,22.560577,,,,,
201,深圳正心济诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.893054,22.563308,,,,,
202,南方医科大学深圳医院前湾社区健康服务站,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.899301,22.517599,,,,,
203,深圳中和门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.905344,22.510927,,,,,
204,深圳多仑多诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.910201,22.51475,,,,,
205,深圳梅华诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.910414,22.5132,,,,,
206,深圳有米医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.911342,22.52794,,,,,
207,深圳五桂杏堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.888218,22.493516,,,,,
208,深圳和爱诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.892995,22.496079,,,,,
209,深圳平凡养生中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.896119,22.50054,,,,,
210,青青世界医务室,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.901466,22.501298,,,,,
211,深圳郭悦洪诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.897065,22.559854,,,,,
212,深圳励峰中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.896977,22.556319,,,,,
213,深圳瑞安堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.885475,22.566782,,,,,
214,冯汀洋中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.88947,22.568802,,,,,
215,李晓枝中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.885211,22.566555,,,,,
216,冯汀泽中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.889556,22.568879,,,,,
217,王战诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.942459,22.801697,,,,,
218,深圳市光明区莫炯中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.944183,22.804427,,,,,
219,光明中心医院新陂头社区健康服务中心预防接种门诊,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.942713,22.800412,,,,,
220,明星诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.945217,22.790109,,,,,
221,球明诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.9456,22.790111,,,,,
222,廖明星西医妇科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.945646,22.789963,,,,,
223,宋球明中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.946346,22.790141,,,,,
224,深圳锦泓诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.946607,22.788531,,,,,
225,海斌中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.930717,22.782471,,,,,
226,深圳润哲堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.932206,22.782191,,,,,
227,深圳陈国军诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.938545,22.766588,,,,,
228,但医生医院,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.9171,22.754865,,,,,
229,深圳刘青华中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.921445,22.76401,,,,,
230,深圳瞳玺眼科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.943269,22.760754,,,,,
231,深圳李彬中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.944301,22.759019,,,,,
232,温向东中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.94525,22.759535,,,,,
233,深圳盈和门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.91833,22.755435,,,,,
