,幸福·月光茶人(好万年店),餐饮服务,冷饮店,冷饮店.1,广东省,深圳市,宝安区,113.784839,22.715557
35,麦田烘焙(怀德店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.818928,22.660781
36,偶芋甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.821005,22.652028
37,爽爽甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.825796,22.649429
38,星巴克(深圳宝安国际机场T3航站楼),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,宝安区,113.811855,22.624803
39,小食光蛋糕,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.821084,22.652103
40,明记甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.825986,22.649698
41,星巴克咖啡(宝安机场4店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,宝安区,113.814455,22.626004
42,彩云之南,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.846339,22.799709
43,益禾烧仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.844766,22.798081
44,化州正宗冰冻糖水店,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.844806,22.802823
45,高级雪糕批发配送,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.843201,22.801411
46,正三民侯彩擂(松岗天虹店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.850769,22.763222
47,猪叔叔冰室(松岗店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.852974,22.762188
48,佳田面包(松岗天虹店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.85189,22.763468
49,我是酸奶君(松岗天虹店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.852896,22.76272
50,星巴克(松岗天虹店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,宝安区,113.851803,22.763593
51,愿茶(松岗天虹店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.850691,22.763777
52,王品咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.849422,22.761335
53,子情贝诺·生日蛋糕(宝利店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.851233,22.764153
54,喜茶(深圳松岗天虹GO店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.851816,22.763419
55,嘟嘟甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.846632,22.763737
56,画叶（松岗天虹店）,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.852795,22.763752
57,悦茶廊(松岗店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.85287,22.763052
58,缘味奶茶(沙井店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.847048,22.719526
59,麦莎蒂斯烘焙(沙井上南店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.845257,22.720045
60,鲜榨果汁(凤凰社区店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.845843,22.684707
61,骏雅轩茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.846248,22.683778
62,御蝶坊生日蛋糕(凤凰店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.843802,22.685339
63,壹族茶饮(凤凰店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.84376,22.68529
64,菠萝蜜语奶茶店(九围店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.862875,22.644753
65,澳美烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.864092,22.646629
66,高纤多维蛋糕(九围店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.863154,22.6447
67,麦园烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.840753,22.636642
68,麦琪尔,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.841063,22.636429
69,格林蛋糕,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.851285,22.602215
70,爽爽甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.851444,22.602271000000002
71,辉煌爱上生日蛋糕(上围园店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.851748,22.599522
72,蜜雪冰城(固戍二路店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.850686,22.601973
73,信荟茶社,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.854104,22.561538
74,小鱼子烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.8584,22.562199
75,喜芝一品,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.854527,22.56815
76,上岛咖啡(富通城店),餐饮服务,咖啡厅,上岛咖啡,广东省,深圳市,宝安区,113.854452,22.567573
77,大益茶体验馆(S4宝和苑店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.859249,22.567317
78,Little ChaZhe小茶嚞(碧海中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.856194,22.569342
79,方圆居茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.863836,22.568118
80,face cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.857646,22.571563
81,可颂坊(富通城店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.8565,22.569651
82,潮味壹品西点·蛋糕定制(宝源店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.865883,22.566641
83,香香蛋糕坊(西乡店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.868121,22.570063
84,杰西五·炸鸡汉堡(海城新村店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.866084,22.564952
85,顺坊姜撞奶·广式甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.865579,22.568384000000002
86,LAZY CAFE,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.862335,22.573041
87,无尘咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.867864,22.567233
88,CoffeeVendor(西乡店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.861551,22.573212
89,Darling cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.867907,22.567182
90,广芳园·香港潮饮店(宝安坪洲店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.868214,22.566617
91,腾信棋牌茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.86377,22.57242
92,爽爽私房甜品(坪洲店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.866098,22.569561
93,胖哒烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.867868,22.56012
94,圣淘沙棋牌茶艺,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.863722,22.572322
95,吉维尼法式甜品研究所(宝安中心店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.862892,22.576059
96,金利轩蛋糕烘焙(李松蓢店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.890288,22.800238
97,瑶山百草药凉茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.889338,22.801012
98,金语华蛋糕店(李松蓢店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.88752,22.800544
99,益禾烤奶(公明李松蓢店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.888371,22.800095
100,蜜雪冰城(李松蓢店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.888893,22.800123
101,麦莎蒂斯烘培(锦鸿花园店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.892086,22.765392
102,小兮烧仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.887898,22.764884
103,海岸音乐餐吧,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,光明区,113.898241,22.764626
104,深圳光明猫小森茶饮,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.898761,22.765007
105,茶萃吧(下石家),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.897971,22.766185
106,小麦早餐店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.892461,22.717563
107,茶萃吧(玉律店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.898162,22.717885
108,爽洋洋(田寮店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,光明区,113.904184,22.727975
109,爽爽甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.897298,22.67286
110,醇味奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.89753,22.672713
111,亲爱的蜂蜜茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.893819,22.66862
112,寻白茶间,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.889719,22.665913
113,甜心坊,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.891846,22.668896
114,大台北茶饮,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.897498,22.672431
115,皇冠蛋糕(料坑店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.892169,22.668357
116,胜记甜品奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.887822,22.600856
117,爽洋洋魅力茶吧(铁岗店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.885837,22.600473
118,益禾烧仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.885827,22.600702
119,凤凰饼店(分店可口蛋糕店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.885706,22.600068
120,宽庐正岩茶深圳体验中心,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.901022,22.595935
121,铁岗雪糕店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.886604,22.600208
122,格蕾安纯天然欧式蛋糕,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.891365,22.561599
123,TEACHER COFFEE咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.892817,22.559939
124,安妮烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.893434,22.563572
125,七点阳光(翻身店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.893354,22.559525
126,名典咖啡语茶(翻身店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.893493,22.561375
127,壹家小食,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.892817,22.56167
128,格林童话蛋糕店(深圳形象店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.892782,22.561264
129,美滋美味生日蛋糕(外卖)(宝安店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.892845,22.560892
130,潮李记糖水小吃店(翻身店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.89216,22.560743
131,奈雪的茶(周大福店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.901023,22.520957
132,缇唯纳,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.899574,22.521559
133,十日谈咖啡(前海卓越金融中心店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.89821,22.529089
134,天供茶生活馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.901193,22.51681
135,COFFII&JOY前海深港基金小镇,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.90401,22.527705
136,iBath lounge深圳爱浴廊,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.900998,22.515056
137,星巴克(前海企业公馆店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.901936,22.516549
138,隆盛茶艺馆棋牌室,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.88649,22.509577
139,奈之雪茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.901188,22.520969
140,澜山咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.891538,22.479453
141,欧克咖啡(赤湾总部大厦店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.895828,22.478691
142,行云居茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.893143,22.493628
143,My Sweet,餐饮服务,甜品店,甜品店,广东省,深圳市,南山区,113.903465,22.479553
144,邓老凉茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.889816,22.493931
145,Kurumi Cake,餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.893188,22.496134
146,包子铺,餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.93505,22.794995
147,渴酸渴甜鲜奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.943427,22.801865
148,贡茶(新陂头店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.943318,22.803195
149,桃艺鲜果茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.94388,22.80018
150,冰世界雪糕批发行,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.94829,22.788287
151,茶萃吧(圳美新村店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.947884,22.792358
152,茶萃吧(圳美市场店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.945408,22.79063
153,homecake亲子烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,光明区,113.942737,22.754879
154,Forest雅庄,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,光明区,113.937124,22.759517
155,林香柠手打柠檬茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.943016,22.760123
156,AND C TIME,餐饮服务,甜品店,甜品店,广东省,深圳市,光明区,113.943265,22.760107
157,宜悠茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.943733,22.760892
158,小摘茶铺(光明中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.944308,22.760481
159,茶萃吧(塘家店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.937235,22.733897
160,茶萃吧,餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.920475,22.718583
161,甜心蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.931606,22.680397
162,润德轩茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.932948,22.681321
163,子情贝诺·生日蛋糕(石岩店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.933588,22.679317
164,剑鱼咖啡屋,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.931985,22.681716
165,悸动烧仙草(万联购物广场店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.933998,22.680503
166,后花园咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,宝安区,113.933776,22.681377
167,LAMOUR,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.928564,22.6438
168,茶先生,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.927768,22.642725
169,金贝烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,宝安区,113.929206,22.643438
170,山月茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,宝安区,113.92557,22.60978
171,103茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.928369,22.613771
172,金屋顶,餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.92856,22.614467
173,和路雪·杜德明雪糕店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.929321,22.61587
174,小兮烧仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.928343,22.585985
175,酷西米(中山园路店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.929143,22.569982
176,创客咖啡(TCL科学园国际E城D2西),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.92865,22.570194
177,Luckin coffee瑞幸咖啡(TCL电子大厦店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.92835,22.569101
178,半日闲棋牌茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.923642,22.546726
179,菓茶道港式甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,南山区,113.928357,22.56903
180,DOUBLE TEA,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.923017,22.55651
181,Luckin coffee瑞幸咖啡(科陆大厦店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.941782,22.561226
182,开心冰店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.923016,22.558944
183,德万会馆(南山中心店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.931859,22.520229
184,奈雪的茶(南山茂业店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.93064,22.519942
185,星巴克(南山茂业店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.9306,22.51973
186,星巴克(南山书城店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.929397,22.519457
187,面包新语(南山书城店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.929349,22.519495
188,HEY YO喜乳酪(南山书城店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.929361,22.519529
189,茶韵茶艺棋牌馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.934839,22.519746
190,顺品甜品屋(深大店),餐饮服务,甜品店,甜品店,广东省,深圳市,南山区,113.93091,22.525849
191,草木间花园咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.929775,22.519318
192,星巴克(学府路店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.92876,22.526212
193,Happiness Tree Cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.927165,22.525404
194,Emily's Cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.931131,22.481339
195,艾蜜丽斯咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.93119,22.48158
196,花房咖啡FLOWER YIN COFFEE,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.928729,22.482995
197,BIGHEAD大头家咖啡馆(蛇口店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.92815,22.483912
198,颐茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.92975,22.483846
199,渔人茶艺棋牌馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.930392,22.485009
200,待续茶人,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.926091,22.486912
201,摩坊烘焙超市(深圳澳城店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.937848,22.487144
202,沁心饼屋(蛇口市场店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.928075,22.485777
203,麦路嘉(东角头店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.930204,22.486967
204,37度奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.93042,22.486013
205,回归茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,光明区,113.970848,22.765377
206,小兮焼仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.968796,22.705304
207,爽爽甜品(创业路店),餐饮服务,甜品店,甜品店,广东省,深圳市,宝安区,113.969372,22.703925
208,贡茶(富裕居店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,光明区,113.986485,22.732022
209,九龙巴士奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,宝安区,113.970748,22.690991
210,TheWayCafe走廊咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.979922,22.622107
211,密都甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,龙华区,113.987069,22.650643
212,美时每客公司,餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,113.981098,22.622788
213,星巴克(西丽大学城店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.972644,22.589083
214,NYGDESIGNcafe牛油果设计咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.987147,22.586683
215,吾道吾茶,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.965599,22.58902
216,永道茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.964413,22.592699
217,乐里花园餐厅,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,南山区,113.97426,22.561476
218,逸轩茶社,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.974427,22.559304
219,素芳·茶事(桃源店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,113.975783,22.557876
220,喜茶(深圳南山京基百纳店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.969506,22.530354
221,星巴克(御景东方店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,南山区,113.968655,22.530669
222,奈雪的茶(南山京基店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.969009,22.530554
223,CoCo都可茶饮(百纳店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.968778,22.530997
224,zuo左羊网红蛋糕订制(南山京基百纳店),餐饮服务,甜品店,甜品店,广东省,深圳市,南山区,113.969498,22.53068
225,汀兰花艺咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.967549,22.531317
226,香云馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.979771,22.531472
227,贝瑞咖啡(深圳华侨城大厦店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,113.982355,22.534578
228,卡拉烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.017166,22.747932
229,往事若茶(观澜店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.019966,22.744943
230,高纤多维蛋糕店(百丽第五分店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.017669,22.727009
231,茶萃吧(观澜大水坑店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.009485,22.730072
232,一花一茶(鲜花奶茶),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.009333,22.677925
233,星巴克(龙华和平里店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,龙华区,114.011178,22.64299
234,SIMIDA手冲咖啡体验馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙华区,114.010468,22.639591
235,T.I.C(龙华店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙华区,114.009328,22.643386
236,一品轩(龙胜店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.012566,22.645279
237,腾茗茶道,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙华区,114.011858,22.640311
