,红树林博览园,科教文化服务,展览馆,展览馆.1,广东省,深圳市,宝安区,113.767362,22.726294
145,56民族喜庆文化线下体验店非遗作品陈列厅,科教文化服务,展览馆,展览馆,广东省,深圳市,南山区,113.98742,22.5325
146,自助图书馆(059华侨城生态广场服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.985789,22.53945
147,EPC,科教文化服务,美术馆,美术馆,广东省,深圳市,南山区,113.98618,22.532575
148,自助图书馆(193观澜街道章阁社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.019405,22.743882
149,大浪会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,龙华区,114.006341,22.681674
150,龙平图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.011864,22.646007
151,龙胜文化活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙华区,114.012101,22.647557
152,君璞酒店-会议室,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.999425,22.588436
153,南方科技大学-涵泳图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.997131,22.601526
154,莫扎特会议厅,科教文化服务,会展中心,会展中心,广东省,深圳市,龙华区,114.027599,22.606504
155,册之丘,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.997571,22.589778
156,自助图书馆(030龙悦居服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.03055,22.60337
157,深圳大学丽湖校区-图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,南山区,113.99339,22.59589
158,龙华会议中心(红山),科教文化服务,会展中心,会展中心,广东省,深圳市,龙华区,114.027163,22.62125
159,自助图书馆(133福田兰江山第服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.014448,22.564157
160,藏乐阁博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.031111,22.552632
161,城市街区24小时自助图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.014693,22.552664
162,下沙博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.025066,22.5267
163,B10现场,科教文化服务,会展中心,会展中心,广东省,深圳市,南山区,113.992183,22.540894
164,深圳市天雅轩茶文化传播有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.023967,22.529886
165,金碧社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.025379,22.523323
166,自助图书馆(177地铁集团服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.0079,22.531681
167,越众物业会议室,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.011838,22.536077
168,黛清美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,福田区,114.021799,22.530023
169,竹林社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.009603,22.537505
170,香港大学深圳医院学术报告厅,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,113.994514,22.526773
171,上沙社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.02964,22.527653
172,福田区图书馆金城社区分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,113.996106,22.530472
173,龙华区图书馆(银星分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.049249,22.726014
174,龙华区茶掂扐饮食文化馆,科教文化服务,文化宫,文化宫,广东省,深圳市,龙华区,114.051397,22.687849
175,自助图书馆(234龙华招商澜园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.046898,22.685103
176,深圳美中图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.052989,22.69058
177,会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙华区,114.049172,22.672368
178,华颐园臻藏馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙华区,114.047973,22.698355
179,自助图书馆(045观澜中航格兰郡服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.047637,22.691265
180,水斗新围劳务工图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.050015,22.63753
181,正地美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,龙华区,114.047299,22.642499
182,龙华区图书馆(水斗新围分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.05054,22.637364
183,城市街区24小时自助图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.052685,22.649664
184,龙华文化艺术中心图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.040233,22.654088
185,城市街区自助图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.055553,22.601125
186,城市街区自助图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.05547,22.601042
187,中铭共享艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,龙华区,114.057612,22.605032
188,自助图书馆(084书香门第服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.047739,22.598756
189,深圳图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.05729,22.545657
190,深圳博物馆历史民俗馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.062126,22.543681
191,福田区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.045551,22.551078
192,深圳市少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.061901,22.547603
193,关山月美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,福田区,114.064243,22.549384
194,莲花北社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.050766,22.557687
195,深圳市群众艺术馆梅林基地,科教文化服务,展览馆,展览馆,广东省,深圳市,福田区,114.049813,22.565135
196,福田区文化馆(景田东一街),科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.043533,22.555283
197,梅林街道文化站,科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.058966,22.565568
198,深圳会展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.059812,22.530799
199,福田会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.055811,22.522482
200,田黄博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.04486,22.518534
201,石厦基地,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.0526,22.52085
202,福田区文化馆石厦戏剧主题馆,科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.051771,22.516957
203,深圳会展中心5展馆,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.058964,22.531184
204,深圳会展中心2展馆,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.057695,22.529868
205,新洲图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.0468,22.52345
206,鳌湖美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,龙华区,114.088374,22.730587
207,风华正茂,科教文化服务,博物馆,博物馆,广东省,深圳市,龙华区,114.09043,22.730527
208,美联红木艺术博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙华区,114.081841,22.724581
209,1510图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙华区,114.086651,22.729142
210,中国版画博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙华区,114.086353,22.735908
211,陈烟桥陈列馆,科教文化服务,展览馆,展览馆,广东省,深圳市,龙华区,114.083838,22.730972
212,春天颂美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,龙华区,114.088867,22.739921
213,观澜湖中庭广场,科教文化服务,会展中心,会展中心,广东省,深圳市,龙华区,114.07616,22.723035
214,观澜湖手艺工场,科教文化服务,展览馆,展览馆,广东省,深圳市,龙华区,114.077189,22.72412
215,南油文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.11068,22.69634
216,甘坑博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.104234,22.656926
217,龙岗区图书馆(坂田分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.078586,22.630738
218,文博宫,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.103223,22.604469
219,自助图书馆(228龙岗翠枫学校服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.104694,22.60942
220,百花文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.09513,22.553756
221,深圳科学馆,科教文化服务,科技馆,科技馆,广东省,深圳市,福田区,114.095771,22.542247
222,潮汕博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,罗湖区,114.093776,22.568384000000002
223,深圳少年儿童图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.099376,22.548463
224,博商国际文化传播有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.098182,22.561507
225,嘉长源艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,福田区,114.089966,22.559148
226,深圳市文化馆,科教文化服务,文化宫,文化宫,广东省,深圳市,福田区,114.092591,22.547292
227,子光百壶艺术馆,科教文化服务,展览馆,展览馆,广东省,深圳市,福田区,114.090687,22.56524
228,国展国展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.099306,22.563329
229,和艺社,科教文化服务,展览馆,展览馆,广东省,深圳市,福田区,114.097452,22.562812
230,钢琴博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.096667,22.538422
231,佳兆业城市广场科学馆,科教文化服务,科技馆,科技馆,广东省,深圳市,福田区,114.096916,22.539337
232,福田区图书馆(南园街道分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.085761,22.532251
233,太阳花酒店-会议厅,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.07765,22.52762
234,北方大酒店-会议厅,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.08505,22.54014
235,滨河社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.08368,22.530103
236,声音图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.097361,22.538606
237,可诺丹婷美容院科学馆,科教文化服务,科技馆,科技馆,广东省,深圳市,福田区,114.093649,22.540359
238,汉国中心会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,福田区,114.080381,22.539617
239,锦龙社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.08997,22.53698
240,福田街道图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,福田区,114.083912,22.53692
241,深圳博物馆古代艺术馆,科教文化服务,博物馆,博物馆,广东省,深圳市,福田区,114.101707,22.541149
242,华南城国际会展中心1号馆,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.129175,22.676752
243,维也纳国际酒店会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.126892,22.677297
244,华南城国际会展中心2号馆,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.129199,22.675834
245,华丽城贵宾楼会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.126851,22.677384
246,自助图书馆(229龙岗华南城服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.125466,22.68069
247,平湖街道图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.12924,22.69666
248,自助图书馆(013龙岗兆弛科技园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.131204,22.644011
249,宿舍图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.128656,22.631901
250,钱江艺术中心,科教文化服务,美术馆,美术馆,广东省,深圳市,龙岗区,114.13505,22.629523
251,上李朗社区文化活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.121136,22.65354
252,大芬美术馆(大芬油画街),科教文化服务,美术馆,美术馆,广东省,深圳市,龙岗区,114.138523,22.609886
253,布吉会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.116008,22.60111
