,铭阳启慧国际教育中心,科教文化服务,培训机构,培训机构.1,广东省,深圳市,宝安区,113.775689,22.732589
49,红舞鞋艺术培训中心(桥头教学点),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810469,22.685126
50,深圳市机场保安服务有限公司(宝安大道),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.82021,22.652518
51,智慧教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.825356,22.648025
52,深圳市企业首席文化官培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.824306,22.647549
53,北大百年家教中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.822881,22.653406
54,诗玛特教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.821455,22.653052
55,宝贝家舞蹈培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.821472,22.653068
56,小水仙艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.82431,22.651456
57,童画家少儿美术(机场校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.823538,22.653105
58,祝博士学习吧(福围商业街店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.821814,22.654242
59,大榕树少儿美术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.815777,22.659073
60,全国民航公安大数据战训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819297,22.621209
61,金刚猴机器人,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819551,22.659942
62,乐加儿童编程创意中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.831395,22.643541
63,爱琴海艺术培训中心(机场店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.830368,22.644243
64,学壹学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.820073,22.659238
65,怀德教育招商中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819848,22.659577
66,红舞鞋童舞缤纷舞蹈团,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819819,22.659676
67,学了先文教中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819557,22.659964
68,麦咭儿童之家金色领域校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.817602,22.659318
69,品茗轩书法培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.819005,22.660689
70,威威机器人(怀德店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.818695,22.661249
71,奥科莱教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.818845,22.661605
72,1688深圳分校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.825789,22.658393
73,深圳航空维修培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.830868,22.626091
74,棒棒弹艺术学塾(万科金色领域店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.815705,22.659199
75,胡贝儿形体礼仪女子学堂(福永同泰校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.804549,22.678939
76,JS国际舞蹈连锁(桥头旗舰店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806664,22.689191
77,希望之星才艺培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810929,22.690408
78,香港现代青少儿英语宝安福永城佳校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.812447,22.675464
79,心心艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.810551,22.69062
80,乐学爱思教育(福永校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808104,22.673809
81,中科教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.812229,22.691026
82,漫艺典美业培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.820986,22.676145
83,宏图腾国际少儿教育机构(福永校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.813263,22.674295
84,木森培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811193,22.691841
85,成仁教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.805493,22.673917
86,纳斯维教育基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806603,22.690366
87,学前乐园幼儿学前教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808002,22.673582
88,小米艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.820983,22.675366
89,新起点艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.813583,22.672153
90,爱之星艺术培训(桥头店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.806126,22.689657
91,鹏程东龙艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81125,22.670628
92,鑫晨阳培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811037,22.693049
93,学富辅导(桥头校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811093,22.693159
94,天之美少儿成人美术书法,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811384,22.692606
95,原野美妆学院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.799381,22.674714
96,深圳八方汇PLC培训学院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.804415,22.673492
97,亲子教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.802506,22.688453
98,优肯教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811379,22.69259
99,蒙氏宝宝早教亲子园(学前乐园校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808018,22.673585
100,红箭琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.798408,22.688143
101,HIBEAR嗨熊国际儿童成长中心(早教英语),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.808956,22.673619
102,岭东培训(福永分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.826317,22.672232
103,有好课培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811258,22.692978
104,三分书画培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.813429,22.692838
105,乾方教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.809487,22.692892
106,拳道美术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81164,22.693046
107,桥南教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.809995,22.69295
108,弈贤培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.811186,22.692858
109,智汇营创客教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.803707,22.690666
110,深圳华图教育宝安分校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.805178,22.671725
111,东方培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.829788,22.674509
112,昕活古典音乐,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.805181,22.671578
113,紫杉艺术中心(桥头分店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81101,22.693049
114,启源文化教育(福永店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.81408,22.668072
115,燕乐琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.858662,22.803544
116,恒温婴幼儿SPA早教中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.847003,22.799203
117,爱豆艺术空间,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.846543,22.798893
118,新启程教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.845305,22.805343
119,月亮湾培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.842808,22.801211
120,嘉艺艺术吉他架子鼓教学,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.844982,22.798218
121,星韵艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859319,22.803509
122,小海豚艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859555,22.79735
123,叮当艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859826,22.803602
124,思诚教育培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857373,22.795676
125,童艺之星培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.842642,22.797499
126,贝思佳(国际)教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860476,22.800299
127,爱在寻常里,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859399,22.803545
128,塘艺教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.842778,22.797335
129,龙辅导英语,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852862,22.762564
130,博师教育(立业路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.853814,22.76179
131,蔓舞倾蝶,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85286,22.76318
132,深艺舞蹈,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852829,22.763264
133,胡贝儿形体礼仪女子学堂松岗分校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852843,22.762639
134,壹心托管中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860419,22.761386
135,勇客教育培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.853629,22.762432
136,舞池百合(松岗天虹基地),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852826,22.763577
137,玖石教育总校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854301,22.762593
138,The ONE,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.853391,22.764173
139,广雅琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.849741,22.765716
140,金曙光文化艺术培训学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852952,22.76502
141,雅乐教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851066,22.76535
142,坤元驾校(沙井德昌分部),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848993,22.723789
143,成辉电脑培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857575,22.722914
144,食为先小吃培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85668,22.719891
145,深圳市致远培训教育有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856032,22.723179
146,上南教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.844082,22.719303
147,悦声琴行艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.843734,22.719115
148,艺歌琴行艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.844454,22.71958
149,雅蒙儿童之家,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.843357,22.682861
150,白天鹅艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.840064,22.687669
151,小召琴行音乐培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.839423,22.687207
152,1102电脑职业培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.838864,22.689026
153,舞凤凰文化艺术城,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.83811,22.688898
154,协音琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.83767,22.695052
155,金凤凰教育培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.841009,22.694715
156,宏图腾国际少儿教育机构(福永三店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.839972,22.688473
157,悦蝶人瑜伽培训工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.834767,22.692116
158,凤鸣教育(为盛百货),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.838498,22.694703
159,鹏腾武道,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.849938,22.60347
160,渤乐教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.847851,22.600574
161,哈哈福保姆大学(固戍分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.853377,22.604731
162,航星培训学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852296,22.59965
163,百闻画院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851278,22.604135
164,BESTIE舞蹈工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.847844,22.600553
165,奥尔美术空间(固戍店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851673,22.604256
166,羽墨轩书法教育(固戍校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.849359,22.603322
167,独角兽阅美乐英语,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851748,22.605175
168,锦盟艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.847715,22.601898
169,升大培优,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859838,22.562849
170,优德教育(悦和路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854741,22.567259
171,格林塾国际早托私塾(富通城店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854647,22.567688
172,金地喆思迪学院富通城校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854909,22.567823
173,格林学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854657,22.567812
174,立图教育(共乐路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859984,22.578132
175,弦音艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859472,22.561994
176,鸿升教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859583,22.56207
177,拓辅教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859827,22.562651
178,嘻哈帮街舞(宝安校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854822,22.567837
179,Otto2艺术美学会馆(悦和路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854824,22.567981
180,十年艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855364,22.567809
181,监子国,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855222,22.568375
182,七彩鱼少儿美术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859472,22.561994
183,恐龙艺学,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855986,22.569676
184,国光琴行(兴业路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860327,22.564335
185,DASH编程学院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856751,22.568994
186,苏菲国际艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85653,22.569677
187,道善苑文化,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859544,22.562093
188,金蓝指艺术培训基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860446,22.564313
189,七田真体验中心(宝安中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856922,22.568848
190,陶笛公社宝安店,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859535,22.56509
191,辛巴星钢琴(西乡分店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860885,22.564005
192,小马快跑(西乡富通城全日制中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854816,22.568825
193,启茁教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.850864,22.569979
194,蓝蜗牛英语,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859238,22.567285
195,精锐教育(宝安富通城学习中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854805,22.567844
196,海乐琴行(汇智盒子北),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857966,22.568721
197,美国学乐英语(宝安店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856972,22.569468
198,超级少年说青少年演讲教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854936,22.567838
199,雅马哈音乐中心(碧海店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856765,22.568884
200,梦拉艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860201,22.564565
201,学韵阁教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85127,22.570326
202,善鼓听艺术学苑,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860223,22.564571
203,红樱桃托管中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851453,22.570336
204,珠江威腾博士钢琴,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860427,22.564317
205,全优加(碧海城购物中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856513,22.569678
206,思学佳教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856947,22.568846
207,舞林大会,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.851472,22.570502
208,思考乐教育(西乡碧海分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.8569,22.568831
209,优胜教育(碧海城购物中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856836,22.568881
210,七田真国际教育(七巧国中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856759,22.569207
211,和河教育(碧海城购物中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855886,22.568995
212,学乐教育(碧海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.852758,22.571595
213,善鼓听古筝馆,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.861126,22.563733
214,清华轩书法(缤纷世界店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860403,22.564316
215,思学佳教育(碧海分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856489,22.569654
216,深圳市国子监教育(富通城校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855203,22.568357
217,畅艺童年美术教育(畅艺童年碧海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854544,22.569035
218,南枫书院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859818,22.566869
219,诚艺琴行(玉湖湾店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848666,22.571617
220,萝拉艺术培训中心(兴业路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.860244,22.564372
221,丫丫英语阅读馆(碧海馆),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.858271,22.568318
222,因特·美术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848848,22.572109
223,阳光屋教育(西乡店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854768,22.572107
224,传音钢琴教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854577,22.572212
225,思考乐教育(西乡碧海高中部),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856599,22.568996
226,舞加舞少儿舞蹈团,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857231,22.570254
227,星华教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859195,22.568842
228,杨梅红国际私立美校(深圳碧海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85642,22.569572
229,小明家,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85455,22.572157
230,梦荷堂美术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.862194,22.564269
231,小荷艺馨艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.84875,22.571671
232,优可英语(玉湖湾校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848914,22.571751
233,星之翼国际舞蹈(富通城校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859544,22.567552
234,佐拉国际少儿美术(富通城店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.858133,22.568565
235,向日葵绘画工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.862496,22.559861
236,布谷自习室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856855,22.572541
237,钰垣古筝社,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848704,22.571883
238,符氏书法(阳光海分部),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854844,22.572026
239,碧海艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856932,22.570743
240,山雄教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.849114,22.572108
241,深港驾校阳光海·服务店,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856759,22.573866
242,海沃登英语,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.848929,22.572158
243,柚塔少儿美院,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.854979,22.571917
244,松鼠AI智适应教育七巧国碧海校区,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856765,22.569088
245,TheLiveAcademy艺能学院流行舞,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.858008,22.568613
246,霖院书法教育(十号路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855159,22.573061
247,霖院书法教育(悦和四街),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.855152,22.571694
248,艺雅琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.86587,22.560702
249,茵莱特教育(西乡分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857446,22.573244
250,数理文化碧海湾分校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856094,22.574055
251,智德文化,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.8563,22.577177
