,华姐理发店,生活服务,美容美发店,美容美发店.1,广东省,深圳市,宝安区,113.781431,22.726007
189,艾功馆·艾灸养生,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969573,22.532084
190,美丽田园(南山京基百纳广场店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970204,22.530397
191,领袖发廊,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969316,22.530687
192,绝色美甲(京基百纳店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.968315,22.531654
193,皇家仙香(京基百纳广场店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970227,22.530454
194,美之堂美颜养生,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969902,22.532197
195,缔豪美业连锁,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.9691,22.532101
196,MINI专业美发(沙河天虹店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969128,22.530648
197,发间专业烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.96957,22.532228
198,首美美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.968821,22.531626
199,阿勇美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.017219,22.749263
200,肤精灵健康美容美体中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012037,22.725015
201,蓝派发型设计烫染店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012464,22.726334
202,流行一派美容美发连锁店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.008286,22.677526
203,香港修身堂,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.008389,22.67763
204,好再来烫染中心,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.010903,22.679867
205,丽颜堂美容SPA会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.010172,22.679786
206,云型连锁机构,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.010266,22.679183
207,名发轩,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.010564,22.679145
208,TOP托普美业(特发店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.011972,22.64201
209,丽妍国际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012668,22.642615
210,克丽缇娜(和平里店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.011848,22.643306
211,熹颜美社(龙胜店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.011738,22.643426
212,艾漾时代科技美容养生,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012058,22.639966
213,首脑丝情美发沙龙(和平里店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.01206,22.643018
214,梵尼亚护肤造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.010548,22.639502
215,一美造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012544,22.64266
216,TBt美发SALON(龙胜地铁站总店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.012663,22.642656
217,惠己悦人美甲美睫皮肤管理,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.012322,22.597825
218,Nice One TATTOO如一刺青,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.012184,22.597994
219,澜兮美学生活馆,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.012975,22.598663
220,克丽缇娜(御景峯店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.011767,22.597808
221,国颐堂养发SPA馆(御景峯店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.012042,22.598071
222,艺指空间(华晖云门店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.001546,22.592362
223,克丽缇娜(华晖云门店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.000057,22.591879
224,琉璃时光SPA会所,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.028755,22.600848
225,蕾特恩专业祛痘(塘朗店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,114.000855,22.591641
226,沃德美健康生活馆(香蜜半山会所),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.014318,22.564765
227,克丽缇娜(万泽店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.016195,22.562801
228,TheSalon,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.015746,22.563204
229,名师发艺(香蜜湖分店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.016506,22.563014
230,善颜美肌,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.01565,22.548826
231,星海Show(嗨您商场店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.012237,22.551312
232,送美堂会所,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.018195,22.553179
233,首脑美发(侨香店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.013695,22.550971
234,芳子美容(翠海花园店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.015207,22.550106
235,发之泓养发馆(侨香店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.01551,22.550856
236,明星妍国际会所(乔香路店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.015386,22.551209
237,京都薇薇(竹子林店),生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.005348,22.534436
238,细文salon,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.027194,22.52383
239,理肤印象万科滨海云中心,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.025849,22.530054
240,剪艺美,生活服务,美容美发店,美容美发店,广东省,深圳市,福田区,114.027345,22.524757
241,百度空间,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.057043,22.743915
242,星少美发(GD80018店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.038006,22.761074
243,美之选,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.060255,22.721637
244,大布巷皇剪造型潮牌店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.051701,22.719149
245,首尔星际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.05108,22.719128
246,新开端专业烫染店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.050278,22.718978
247,名艺造型,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.050812,22.718727
248,美秀伊人化妆品(大布巷店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.051653,22.719089
249,首脑(比邻新天地),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.040967,22.694076
250,韩式半永久定妆Sunny,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.050079,22.683533
251,美颜阁,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.048997,22.685841
252,克丽缇娜(大和路店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.047561,22.685103
253,皇家印象美容养生,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.04773,22.685103
254,Melissa玛丽莎.国际美容(招商澜园店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.048039,22.685102
255,优剪(招商澜园工作室),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.047916,22.685102
256,英妮尔美容美体,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.047702,22.685103
257,心心美甲,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.048302,22.678042
258,发泽造型(凤天大厦店),生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.050518,22.64083
259,媛丽美容养生汗蒸馆,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.052285,22.641949
260,卡尼国际,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.051737,22.641499
261,欧艺美,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.049313,22.639448
