"113.547927,22.703144",珠江街道,"[5.161845261802811, 359.6206363636364]"
"113.324082,23.158691",兴华街道,"[5.3026609586811615, 375.12302597402606]"
"113.278352,23.207395",黄石街道,"[150.62149362379841, 41.701676426047406]"
"113.253566,23.191243",新市街道,"[77.67642865939831, 83.07654193548379]"
"113.274156,23.224505",鹤龙街道,"[83.79551453307802, 113.74156]"
"113.334610,23.116621",猎德街道,"[124.15520398999912, 99.39676045016073]"
"113.371022,23.133914",棠下街道,"[64.86923438633671, 122.84838054363368]"
"113.485598,22.771634",横沥镇,"[14.220001692271559, 208.61558333333338]"
"113.364134,22.930750",桥南街道,"[48.07594328578751, 125.18450553250342]"
"113.235048,23.208351",石井街道,"[20.53132902973279, 183.15865772960612]"
"113.380672,23.128669",棠下街道,"[64.86923438633671, 122.84838054363368]"
"113.260727,23.119469",光塔街道,"[145.98300313841187, 86.55548085106382]"
"113.844979,23.286773",增江街道,"[63.11503323411818, 110.8145714285714]"
"113.261069,23.112661",人民街道,"[128.73221269260435, 96.18154430379752]"
"113.257455,23.114167",人民街道,"[128.73221269260435, 96.18154430379752]"
"113.239816,23.099349",花地街道,"[88.02298149828113, 100.70955294117647]"
"113.266896,23.123627",北京街道,"[194.9884389740093, 64.67522303921574]"
"113.255009,23.102509",南华西街道,"[432.65137409117864, 54.79893750000005]"
"113.416224,23.192959",凤凰街道,"[7.7700120546068785, 311.0225024875623]"
"113.305196,23.222438",永平街道,"[41.842903207089684, 112.75554814108695]"
"113.250779,23.170469",棠景街道,"[51.48183592548147, 117.50960289855072]"
"113.333249,23.190951",同和街道,"[16.46042370288416, 191.08519159456108]"
"113.240720,23.258463",白云湖街道,"[0.5937219313105759, 1108.4118064516126]"
"113.377447,23.168325",长兴街道,"[26.45506325515186, 139.07963249516445]"
"113.353372,22.917693",沙湾镇,"[20.981333072991855, 156.66159022852636]"
"113.458226,22.851845",东涌镇,"[12.135711100034495, 252.2733055975791]"
"113.237548,23.167048",同德街道,"[32.58955494237289, 151.9037440476191]"
"113.318272,23.137726",天河南街道,"[175.73582130252123, 81.12961453201974]"
"113.325240,23.205747",同和街道,"[16.46042370288416, 191.08519159456108]"
"113.268049,23.131565",洪桥街道,"[148.60989070468406, 82.33089386792446]"
"113.233278,23.154543",同德街道,"[32.58955494237289, 151.9037440476191]"
"113.363730,22.910831",桥南街道,"[48.07594328578751, 125.18450553250342]"
"113.558167,22.770008",南沙街道,"[12.222665298371332, 227.51768670618156]"
"113.257431,23.097916",龙凤街道,"[231.98081499183107, 58.58516382252563]"
"113.273362,23.194083",新市街道,"[77.67642865939831, 83.07654193548379]"
"113.260184,23.055413",东沙街道,"[40.780627067357685, 162.49387186629522]"
"113.580085,23.158712",永宁街道,"[18.91157144996907, 189.0470980392157]"
"113.202404,23.054248",中南街道,"[18.55236621612426, 239.93264705882353]"
"113.271427,23.226064",鹤龙街道,"[83.79551453307802, 113.74156]"
"113.277851,23.087721",昌岗街道,"[124.72260104973229, 82.65534640522873]"
"113.328933,23.116346",猎德街道,"[124.15520398999912, 99.39676045016073]"
"113.313260,23.127408",梅花村街道,"[98.01300086187713, 116.3462712765957]"
"113.274204,23.041637",洛浦街道,"[40.26159916576214, 138.60866954377326]"
"113.379174,22.960294",东环街道,"[34.55350248171042, 151.0652597402597]"
"113.238331,23.203397",石井街道,"[20.53132902973279, 183.15865772960612]"
"113.345680,23.172725",元岗街道,"[29.029013149383506, 149.99238211382115]"
"113.393363,22.938273",大龙街道,"[23.16698033750861, 171.71676452905814]"
"113.211761,23.420782",花城街道,"[28.739609773852923, 175.10971830985918]"
"113.326143,23.147234",林和街道,"[94.72880897610851, 96.95717525773198]"
"113.322082,23.166966",兴华街道,"[5.3026609586811615, 375.12302597402606]"
"113.334037,23.139482",林和街道,"[94.72880897610851, 96.95717525773198]"
"113.315264,22.974457",钟村街道,"[27.57438291694973, 167.7775456896552]"
"113.461456,23.171075",联和街道,"[14.663077406178758, 163.97963696172266]"
"113.825440,23.132867",石滩镇,"[0.6876456376954454, 1679.6622857142854]"
"113.295541,23.134807",黄花岗街道,"[104.51461200656038, 90.90101639344256]"
"113.202311,23.054175",中南街道,"[18.55236621612426, 239.93264705882353]"
"113.341101,22.927264",沙湾镇,"[20.981333072991855, 156.66159022852636]"
"113.311497,23.098215",赤岗街道,"[68.39043573589576, 107.44996277495784]"
"113.333338,23.115741",猎德街道,"[124.15520398999912, 99.39676045016073]"
"113.221094,23.363225",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.352588,22.950418",沙头街道,"[88.2522953351292, 106.79305580693818]"
"112.968979,23.437472",赤坭镇,"[4.072809053039389, 352.5394519140989]"
"113.252091,23.396551",新华街道,"[36.96029665204159, 161.4619393939394]"
"113.541140,23.095492",南岗街道,"[14.024370322362723, 246.24005882352952]"
"113.237128,23.364599",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.228144,23.364827",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.218919,23.360704",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.231045,23.355398",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.226439,23.354928",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.406560,23.405300",花东镇,"[6.9258699741879, 256.12891396558615]"
"113.309480,23.029783",大石街道,"[4.928291248354992, 311.4079421965318]"
"113.235922,23.372966",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.283543,23.091257",昌岗街道,"[124.72260104973229, 82.65534640522873]"
"113.232795,23.361729",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.369521,23.115575",员村街道,"[46.432014806980646, 140.20437499999989]"
"113.382327,23.101430",琶洲街道,"[39.72970180497591, 158.80512747524756]"
"113.302069,23.089353",凤阳街道,"[37.75886780030172, 117.95822910216714]"
"113.331003,23.121897",冼村街道,"[93.22532172399816, 105.33334325396822]"
"113.326695,23.180544",京溪街道,"[42.063448387143275, 120.50311940298505]"
"113.290982,23.083844",凤阳街道,"[37.75886780030172, 117.95822910216714]"
"113.339132,23.116748",猎德街道,"[124.15520398999912, 99.39676045016073]"
"113.233888,23.361619",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.218131,23.360482",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.223363,23.364628",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.217362,23.363478",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.231097,23.368627",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.223399,23.354808",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.531956,22.843854",黄阁镇,"[12.708079457893394, 261.8939180076628]"
"113.330335,22.984352",钟村街道,"[27.57438291694973, 167.7775456896552]"
"113.372064,22.918502",桥南街道,"[48.07594328578751, 125.18450553250342]"
"113.411611,23.046130",小谷围街道,"[86.59769803302278, 117.00387536718412]"
"113.395322,23.002756",南村镇,"[3.1925941033452108, 516.3463359999997]"
"113.294647,23.012490",大石街道,"[4.928291248354992, 311.4079421965318]"
"113.256244,23.223796",白云湖街道,"[0.5937219313105759, 1108.4118064516126]"
"113.229640,23.384270",新华街道,"[36.96029665204159, 161.4619393939394]"
"113.231110,23.341080",新雅街道,"[29.334987857044233, 174.83276530612255]"
"113.579465,23.544472",街口街道,"[46.35487594394277, 94.17972108108084]"
"113.256147,23.414431",花山镇,"[82.4489287045362, 164.45978571428574]"
"113.377729,22.962841",东环街道,"[34.55350248171042, 151.0652597402597]"
"113.168921,23.373785",秀全街道,"[67.60406911970202, 136.25749999999996]"
"113.382736,23.162493",长兴街道,"[26.45506325515186, 139.07963249516445]"
"113.485525,23.577278",鳌头镇,"[2.178182158374352, 390.61106521739066]"
"113.411500,23.157736",新塘街道,"[22.902008083435057, 177.12659677419379]"
"113.278753,23.118938",珠光街道,"[182.1003530684274, 79.21584647302905]"
"113.304949,23.236708",永平街道,"[41.842903207089684, 112.75554814108695]"
"113.466782,23.008770",化龙镇,"[11.934894725405652, 238.04456203007533]"
